[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 977, "progress_percent": 0.102, "elapsed_seconds": 3.224, "eta_seconds": 3146.489, "items_processed": 128, "items_per_sec": 39.704, "tokens_processed": 176809, "tokens_per_sec": 54843.847, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1872.0, "gpu_peak_memory_allocated_mb": 1457.67, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1872.0, "gpu_peak_memory_allocated_mb_max": 1457.67, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1872.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 7.73, "gpu_memory_peak_percent_max": 6.02, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 50, "batch": 50, "batches_total": 977, "progress_percent": 5.118, "elapsed_seconds": 125.397, "eta_seconds": 2324.853, "items_processed": 6400, "items_per_sec": 51.038, "tokens_processed": 8617934, "tokens_per_sec": 68725.427, "field_accuracy_running": 0.9999479166666667, "all_fields_accuracy_running": 0.99984375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2064.0, "gpu_peak_memory_allocated_mb": 1469.56, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2064.0, "gpu_peak_memory_allocated_mb_max": 1469.56, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2064.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.52, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 977, "progress_percent": 10.235, "elapsed_seconds": 250.559, "eta_seconds": 2197.404, "items_processed": 12800, "items_per_sec": 51.086, "tokens_processed": 17213081, "tokens_per_sec": 68698.676, "field_accuracy_running": 0.9999479166666667, "all_fields_accuracy_running": 0.999765625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2064.0, "gpu_peak_memory_allocated_mb": 1469.56, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2064.0, "gpu_peak_memory_allocated_mb_max": 1469.56, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2064.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.52, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 150, "batch": 150, "batches_total": 977, "progress_percent": 15.353, "elapsed_seconds": 376.258, "eta_seconds": 2074.434, "items_processed": 19200, "items_per_sec": 51.029, "tokens_processed": 25806924, "tokens_per_sec": 68588.436, "field_accuracy_running": 0.999921875, "all_fields_accuracy_running": 0.9997395833333333, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2064.0, "gpu_peak_memory_allocated_mb": 1469.56, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2064.0, "gpu_peak_memory_allocated_mb_max": 1469.56, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2064.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.52, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 200, "batch": 200, "batches_total": 977, "progress_percent": 20.471, "elapsed_seconds": 502.363, "eta_seconds": 1951.679, "items_processed": 25600, "items_per_sec": 50.959, "tokens_processed": 34438412, "tokens_per_sec": 68552.89, "field_accuracy_running": 0.9999283854166666, "all_fields_accuracy_running": 0.9997265625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 250, "batch": 250, "batches_total": 977, "progress_percent": 25.589, "elapsed_seconds": 627.827, "eta_seconds": 1825.721, "items_processed": 32000, "items_per_sec": 50.969, "tokens_processed": 43018742, "tokens_per_sec": 68520.047, "field_accuracy_running": 0.9999427083333333, "all_fields_accuracy_running": 0.99978125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 300, "batch": 300, "batches_total": 977, "progress_percent": 30.706, "elapsed_seconds": 753.908, "eta_seconds": 1701.318, "items_processed": 38400, "items_per_sec": 50.935, "tokens_processed": 51645378, "tokens_per_sec": 68503.597, "field_accuracy_running": 0.9999479166666667, "all_fields_accuracy_running": 0.9997916666666666, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 350, "batch": 350, "batches_total": 977, "progress_percent": 35.824, "elapsed_seconds": 879.331, "eta_seconds": 1575.259, "items_processed": 44800, "items_per_sec": 50.948, "tokens_processed": 60256768, "tokens_per_sec": 68525.683, "field_accuracy_running": 0.9999479166666667, "all_fields_accuracy_running": 0.9997767857142857, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 400, "batch": 400, "batches_total": 977, "progress_percent": 40.942, "elapsed_seconds": 1005.011, "eta_seconds": 1449.728, "items_processed": 51200, "items_per_sec": 50.945, "tokens_processed": 68871609, "tokens_per_sec": 68528.239, "field_accuracy_running": 0.9999381510416666, "all_fields_accuracy_running": 0.99974609375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 450, "batch": 450, "batches_total": 977, "progress_percent": 46.059, "elapsed_seconds": 1130.739, "eta_seconds": 1324.221, "items_processed": 57600, "items_per_sec": 50.94, "tokens_processed": 77494993, "tokens_per_sec": 68534.802, "field_accuracy_running": 0.9999392361111111, "all_fields_accuracy_running": 0.9997395833333333, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 500, "batch": 500, "batches_total": 977, "progress_percent": 51.177, "elapsed_seconds": 1256.437, "eta_seconds": 1198.641, "items_processed": 64000, "items_per_sec": 50.938, "tokens_processed": 86147437, "tokens_per_sec": 68564.85, "field_accuracy_running": 0.9999348958333333, "all_fields_accuracy_running": 0.999703125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2162.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2162.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2162.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.93, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
