[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 196, "progress_percent": 0.51, "elapsed_seconds": 3.016, "eta_seconds": 588.119, "items_processed": 128, "items_per_sec": 42.44, "tokens_processed": 167413, "tokens_per_sec": 55508.396, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2002.0, "gpu_peak_memory_allocated_mb": 1457.67, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2002.0, "gpu_peak_memory_allocated_mb_max": 1457.67, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2002.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.27, "gpu_memory_peak_percent_max": 6.02, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 20, "batch": 20, "batches_total": 196, "progress_percent": 10.204, "elapsed_seconds": 43.344, "eta_seconds": 381.429, "items_processed": 2560, "items_per_sec": 59.062, "tokens_processed": 3354561, "tokens_per_sec": 77393.604, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2194.0, "gpu_peak_memory_allocated_mb": 1468.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2194.0, "gpu_peak_memory_allocated_mb_max": 1468.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2194.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.06, "gpu_memory_peak_percent_max": 6.06, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 40, "batch": 40, "batches_total": 196, "progress_percent": 20.408, "elapsed_seconds": 86.167, "eta_seconds": 336.05, "items_processed": 5120, "items_per_sec": 59.42, "tokens_processed": 6696874, "tokens_per_sec": 77720.071, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 60, "batch": 60, "batches_total": 196, "progress_percent": 30.612, "elapsed_seconds": 128.803, "eta_seconds": 291.953, "items_processed": 7680, "items_per_sec": 59.626, "tokens_processed": 10046502, "tokens_per_sec": 77999.09, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 80, "batch": 80, "batches_total": 196, "progress_percent": 40.816, "elapsed_seconds": 171.351, "eta_seconds": 248.459, "items_processed": 10240, "items_per_sec": 59.76, "tokens_processed": 13384171, "tokens_per_sec": 78109.592, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 196, "progress_percent": 51.02, "elapsed_seconds": 214.317, "eta_seconds": 205.744, "items_processed": 12800, "items_per_sec": 59.725, "tokens_processed": 16718566, "tokens_per_sec": 78008.767, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 120, "batch": 120, "batches_total": 196, "progress_percent": 61.224, "elapsed_seconds": 257.398, "eta_seconds": 163.018, "items_processed": 15360, "items_per_sec": 59.674, "tokens_processed": 20071310, "tokens_per_sec": 77977.853, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 140, "batch": 140, "batches_total": 196, "progress_percent": 71.429, "elapsed_seconds": 300.031, "eta_seconds": 120.012, "items_processed": 17920, "items_per_sec": 59.727, "tokens_processed": 23392248, "tokens_per_sec": 77966.212, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 160, "batch": 160, "batches_total": 196, "progress_percent": 81.633, "elapsed_seconds": 342.853, "eta_seconds": 77.142, "items_processed": 20480, "items_per_sec": 59.734, "tokens_processed": 26739482, "tokens_per_sec": 77991.148, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 180, "batch": 180, "batches_total": 196, "progress_percent": 91.837, "elapsed_seconds": 385.873, "eta_seconds": 34.3, "items_processed": 23040, "items_per_sec": 59.709, "tokens_processed": 30090654, "tokens_per_sec": 77980.679, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 196, "batch": 196, "batches_total": 196, "progress_percent": 100.0, "elapsed_seconds": 419.476, "eta_seconds": 0.0, "items_processed": 25000, "items_per_sec": 59.598, "tokens_processed": 32655123, "tokens_per_sec": 77847.452, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2294.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2294.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2294.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.47, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
