condition,split,task,kind,target,attribute,position,accuracy,examples,classes
single,probe_train_recall,p_birth_date_first,p,first,birth_date,0,1.0,49882,12
single,probe_train_recall,p_birth_date_first,p,first,birth_date,1,1.0,49882,12
single,probe_train_recall,p_birth_date_first,p,first,birth_date,2,1.0,49882,12
single,probe_train_recall,p_birth_date_first,p,first,birth_date,3,1.0,49882,12
single,probe_train_recall,p_birth_date_first,p,first,birth_date,4,1.0,49882,12
single,probe_train_recall,p_birth_date_first,p,first,birth_date,5,1.0,49882,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,0,1.0,50118,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,1,0.9999600648880005,50118,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,2,1.0,50118,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,3,1.0,50118,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,4,1.0,50118,12
single,person_held_out_validation,p_birth_date_first,p,first,birth_date,5,1.0,50118,12
single,probe_train_recall,q_birth_date_first,q,first,birth_date,0,0.4595244824886322,49882,12
single,person_held_out_validation,q_birth_date_first,q,first,birth_date,0,0.41298535466194153,50118,12
single,probe_train_recall,p_birth_city_first,p,first,birth_city,0,0.07958782464265823,49882,21
single,probe_train_recall,p_birth_city_first,p,first,birth_city,1,0.9999799728393555,49882,21
single,probe_train_recall,p_birth_city_first,p,first,birth_city,2,1.0,49882,21
single,probe_train_recall,p_birth_city_first,p,first,birth_city,3,1.0,49882,21
single,probe_train_recall,p_birth_city_first,p,first,birth_city,4,1.0,49882,21
single,probe_train_recall,p_birth_city_first,p,first,birth_city,5,1.0,49882,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,0,0.06349015980958939,50118,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,1,1.0,50118,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,2,0.9999800324440002,50118,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,3,1.0,50118,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,4,1.0,50118,21
single,person_held_out_validation,p_birth_city_first,p,first,birth_city,5,1.0,50118,21
single,probe_train_recall,q_birth_city_first,q,first,birth_city,0,0.11843951791524887,49882,21
single,person_held_out_validation,q_birth_city_first,q,first,birth_city,0,0.062033601105213165,50118,21
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,0,0.020368069410324097,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,1,0.7798805236816406,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,2,0.9992983341217041,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,3,0.9990176558494568,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,4,0.9986969232559204,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,5,0.9985164999961853,49882,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,0,0.0071032363921403885,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,1,0.5255995988845825,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,2,0.9973263144493103,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,3,0.9968873262405396,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,4,0.9969272613525391,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,5,0.9970070719718933,50118,200
single,probe_train_recall,q_birth_city_whole,q,whole,birth_city,0,0.166212260723114,49882,200
single,person_held_out_validation,q_birth_city_whole,q,whole,birth_city,0,0.005686579737812281,50118,200
single,probe_train_recall,p_university_first,p,first,university,0,0.06707830727100372,49882,20
single,probe_train_recall,p_university_first,p,first,university,1,0.14776873588562012,49882,20
single,probe_train_recall,p_university_first,p,first,university,2,0.9985966682434082,49882,20
single,probe_train_recall,p_university_first,p,first,university,3,0.9999198317527771,49882,20
single,probe_train_recall,p_university_first,p,first,university,4,0.9994787573814392,49882,20
single,probe_train_recall,p_university_first,p,first,university,5,0.9999799728393555,49882,20
single,person_held_out_validation,p_university_first,p,first,university,0,0.05341394245624542,50118,20
single,person_held_out_validation,p_university_first,p,first,university,1,0.13174907863140106,50118,20
single,person_held_out_validation,p_university_first,p,first,university,2,0.998104453086853,50118,20
single,person_held_out_validation,p_university_first,p,first,university,3,0.9997206330299377,50118,20
single,person_held_out_validation,p_university_first,p,first,university,4,0.9994013905525208,50118,20
single,person_held_out_validation,p_university_first,p,first,university,5,0.9999800324440002,50118,20
single,probe_train_recall,q_university_first,q,first,university,0,0.12551622092723846,49882,20
single,person_held_out_validation,q_university_first,q,first,university,0,0.060038309544324875,50118,20
single,probe_train_recall,p_university_whole,p,whole,university,0,0.03331863135099411,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,1,0.05705465003848076,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,2,0.3908022940158844,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,3,0.9980553984642029,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,4,0.9985766410827637,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,5,0.999117910861969,49882,300
single,person_held_out_validation,p_university_whole,p,whole,university,0,0.003731194417923689,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,1,0.013887226581573486,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,2,0.1286962777376175,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,3,0.9961091876029968,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,4,0.9969472289085388,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,5,0.998623251914978,50118,300
single,probe_train_recall,q_university_whole,q,whole,university,0,0.22306643426418304,49882,300
single,person_held_out_validation,q_university_whole,q,whole,university,0,0.004090346861630678,50118,300
single,probe_train_recall,p_major_first,p,first,major,0,0.0668778344988823,49882,20
single,probe_train_recall,p_major_first,p,first,major,1,0.08265506476163864,49882,20
single,probe_train_recall,p_major_first,p,first,major,2,0.09412212669849396,49882,20
single,probe_train_recall,p_major_first,p,first,major,3,1.0,49882,20
single,probe_train_recall,p_major_first,p,first,major,4,1.0,49882,20
single,probe_train_recall,p_major_first,p,first,major,5,1.0,49882,20
single,person_held_out_validation,p_major_first,p,first,major,0,0.0571451373398304,50118,20
single,person_held_out_validation,p_major_first,p,first,major,1,0.06698191910982132,50118,20
single,person_held_out_validation,p_major_first,p,first,major,2,0.07504289597272873,50118,20
single,person_held_out_validation,p_major_first,p,first,major,3,1.0,50118,20
single,person_held_out_validation,p_major_first,p,first,major,4,1.0,50118,20
single,person_held_out_validation,p_major_first,p,first,major,5,1.0,50118,20
single,probe_train_recall,q_major_first,q,first,major,0,0.12226855009794235,49882,20
single,person_held_out_validation,q_major_first,q,first,major,0,0.0529550276696682,50118,20
single,probe_train_recall,p_major_whole,p,whole,major,0,0.020688826218247414,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,1,0.037729039788246155,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,2,0.04181869328022003,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,3,0.8538350462913513,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,4,0.9962711930274963,49882,100
