condition,split,task,kind,target,attribute,position,accuracy,examples,classes
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,0,0.020368069410324097,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,1,0.7798805236816406,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,2,0.9992983341217041,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,3,0.9990176558494568,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,4,0.9986969232559204,49882,200
single,probe_train_recall,p_birth_city_whole,p,whole,birth_city,5,0.9985164999961853,49882,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,0,0.0071032363921403885,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,1,0.5255995988845825,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,2,0.9973263144493103,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,3,0.9968873262405396,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,4,0.9969272613525391,50118,200
single,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,5,0.9970070719718933,50118,200
single,probe_train_recall,q_birth_city_whole,q,whole,birth_city,0,0.166212260723114,49882,200
single,person_held_out_validation,q_birth_city_whole,q,whole,birth_city,0,0.005686579737812281,50118,200
single,probe_train_recall,p_university_whole,p,whole,university,0,0.03331863135099411,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,1,0.05705465003848076,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,2,0.3908022940158844,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,3,0.9980553984642029,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,4,0.9985766410827637,49882,300
single,probe_train_recall,p_university_whole,p,whole,university,5,0.999117910861969,49882,300
single,person_held_out_validation,p_university_whole,p,whole,university,0,0.003731194417923689,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,1,0.013887226581573486,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,2,0.1286962777376175,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,3,0.9961091876029968,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,4,0.9969472289085388,50118,300
single,person_held_out_validation,p_university_whole,p,whole,university,5,0.998623251914978,50118,300
single,probe_train_recall,q_university_whole,q,whole,university,0,0.22306643426418304,49882,300
single,person_held_out_validation,q_university_whole,q,whole,university,0,0.004090346861630678,50118,300
single,probe_train_recall,p_major_whole,p,whole,major,0,0.020688826218247414,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,1,0.037729039788246155,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,2,0.04181869328022003,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,3,0.8538350462913513,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,4,0.9962711930274963,49882,100
single,probe_train_recall,p_major_whole,p,whole,major,5,0.9682049751281738,49882,100
single,person_held_out_validation,p_major_whole,p,whole,major,0,0.012071510776877403,50118,100
single,person_held_out_validation,p_major_whole,p,whole,major,1,0.017239315435290337,50118,100
single,person_held_out_validation,p_major_whole,p,whole,major,2,0.01927451230585575,50118,100
single,person_held_out_validation,p_major_whole,p,whole,major,3,0.7707011699676514,50118,100
single,person_held_out_validation,p_major_whole,p,whole,major,4,0.9962488412857056,50118,100
single,person_held_out_validation,p_major_whole,p,whole,major,5,0.9651222825050354,50118,100
single,probe_train_recall,q_major_whole,q,whole,major,0,0.07603945583105087,49882,100
single,person_held_out_validation,q_major_whole,q,whole,major,0,0.010774572379887104,50118,100
single,probe_train_recall,p_company_whole,p,whole,company,0,0.023575639352202415,49882,263
single,probe_train_recall,p_company_whole,p,whole,company,1,0.030552102252840996,49882,263
single,probe_train_recall,p_company_whole,p,whole,company,2,0.0336594358086586,49882,263
single,probe_train_recall,p_company_whole,p,whole,company,3,0.03590473532676697,49882,263
single,probe_train_recall,p_company_whole,p,whole,company,4,0.36191412806510925,49882,263
single,probe_train_recall,p_company_whole,p,whole,company,5,0.9998195767402649,49882,263
single,person_held_out_validation,p_company_whole,p,whole,company,0,0.004210064187645912,50118,263
single,person_held_out_validation,p_company_whole,p,whole,company,1,0.005087992176413536,50118,263
single,person_held_out_validation,p_company_whole,p,whole,company,2,0.004908415954560041,50118,263
single,person_held_out_validation,p_company_whole,p,whole,company,3,0.006145496852695942,50118,263
single,person_held_out_validation,p_company_whole,p,whole,company,4,0.1354004591703415,50118,263
single,person_held_out_validation,p_company_whole,p,whole,company,5,0.999800443649292,50118,263
single,probe_train_recall,q_company_whole,q,whole,company,0,0.09386151283979416,49882,263
single,person_held_out_validation,q_company_whole,q,whole,company,0,0.003970629535615444,50118,263
single,probe_train_recall,p_company_city_whole,p,whole,company_city,0,0.13487830758094788,49882,200
single,probe_train_recall,p_company_city_whole,p,whole,company_city,1,0.13806582987308502,49882,200
single,probe_train_recall,p_company_city_whole,p,whole,company_city,2,0.13802574574947357,49882,200
single,probe_train_recall,p_company_city_whole,p,whole,company_city,3,0.1366625279188156,49882,200
single,probe_train_recall,p_company_city_whole,p,whole,company_city,4,0.29888537526130676,49882,200
single,probe_train_recall,p_company_city_whole,p,whole,company_city,5,1.0,49882,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,0,0.1309908628463745,50118,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,1,0.13420328497886658,50118,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,2,0.13404366374015808,50118,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,3,0.1323077529668808,50118,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,4,0.14180533587932587,50118,200
single,person_held_out_validation,p_company_city_whole,p,whole,company_city,5,1.0,50118,200
single,probe_train_recall,q_company_city_whole,q,whole,company_city,0,0.14432059228420258,49882,200
single,person_held_out_validation,q_company_city_whole,q,whole,company_city,0,0.1342431902885437,50118,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,0,0.6133515238761902,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,1,0.6440719962120056,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,2,0.6480854749679565,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,3,0.6500300765037537,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,4,0.6512809991836548,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,5,0.648730993270874,249410,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,0,0.12942256033420563,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,1,0.13150165975093842,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,2,0.13202042877674103,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,3,0.13200047612190247,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,4,0.13323356211185455,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,5,0.13350892066955566,250590,200
multi5_permute,probe_train_recall,q_birth_city_whole,q,whole,birth_city,0,0.7451184988021851,49882,200
multi5_permute,person_held_out_validation,q_birth_city_whole,q,whole,birth_city,0,0.12919509410858154,50118,200
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,0,0.6892987489700317,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,1,0.7206447124481201,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,2,0.7272042036056519,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,3,0.7304879426956177,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,4,0.7286556363105774,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,5,0.7253357768058777,249410,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,0,0.08531864732503891,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,1,0.08649586886167526,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,2,0.08673929423093796,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,3,0.08710642904043198,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,4,0.0869029089808464,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,5,0.08703060448169708,250590,300
multi5_permute,probe_train_recall,q_university_whole,q,whole,university,0,0.8675273656845093,49882,300
multi5_permute,person_held_out_validation,q_university_whole,q,whole,university,0,0.08483977615833282,50118,300
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,0,0.7469347715377808,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,1,0.7732568979263306,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,2,0.7797762751579285,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,3,0.784683883190155,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,4,0.7881439924240112,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,5,0.7895433306694031,249410,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,0,0.4779680073261261,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,1,0.4927690625190735,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,2,0.49562233686447144,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,3,0.49894648790359497,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,4,0.5011652708053589,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,5,0.5011732578277588,250590,100
multi5_permute,probe_train_recall,q_major_whole,q,whole,major,0,0.828374981880188,49882,100
multi5_permute,person_held_out_validation,q_major_whole,q,whole,major,0,0.47322317957878113,50118,100
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,0,0.8651297092437744,249410,263
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,1,0.9178861975669861,249410,263
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,2,0.9517260789871216,249410,263
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,3,0.9737460613250732,249410,263
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,4,0.9881721138954163,249410,263
multi5_permute,probe_train_recall,p_company_whole,p,whole,company,5,0.9948759078979492,249410,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,0,0.45133087038993835,250590,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,1,0.6178538799285889,250590,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,2,0.7442435622215271,250590,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,3,0.8429067134857178,250590,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,4,0.9125064611434937,250590,263
multi5_permute,person_held_out_validation,p_company_whole,p,whole,company,5,0.9508679509162903,250590,263
multi5_permute,probe_train_recall,q_company_whole,q,whole,company,0,0.9818170666694641,49882,263
multi5_permute,person_held_out_validation,q_company_whole,q,whole,company,0,0.4596751630306244,50118,263
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,0,0.7865001559257507,249410,200
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,1,0.8645523190498352,249410,200
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,2,0.9216470718383789,249410,200
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,3,0.9607914686203003,249410,200
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,4,0.9853975176811218,249410,200
multi5_permute,probe_train_recall,p_company_city_whole,p,whole,company_city,5,0.9992823004722595,249410,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,0,0.4855620861053467,250590,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,1,0.6543996334075928,250590,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,2,0.7910850644111633,250590,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,3,0.893994152545929,250590,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,4,0.962927520275116,250590,200
multi5_permute,person_held_out_validation,p_company_city_whole,p,whole,company_city,5,0.9986192584037781,250590,200
multi5_permute,probe_train_recall,q_company_city_whole,q,whole,company_city,0,0.9205926060676575,49882,200
multi5_permute,person_held_out_validation,q_company_city_whole,q,whole,company_city,0,0.5103754997253418,50118,200
