layer,same_t2_pair_count,same_t2_t1_route_overlap,same_t2_t2_route_overlap,same_t2_branching_score,different_t2_pair_count,different_t2_t1_route_overlap,different_t2_t2_route_overlap,different_t2_branching_score,difference_in_differences
0,202000,0.9271023102309588,0.8386716171616198,0.08843069306933903,186000,0.9307060931899204,0.3290770609319715,0.6016290322579488,0.5131983391886098
1,202000,0.9327920792078876,0.8917227722771819,0.04106930693070572,186000,0.9410609318996094,0.22413978494621245,0.716921146953397,0.6758518400226913
2,202000,0.7309059405938703,0.7457887788777153,-0.014882838283845165,186000,0.7244999999998293,0.4653853046595562,0.2591146953402731,0.2739975336241183
3,202000,0.5111732673266963,0.5828102310229866,-0.07163696369629016,186000,0.49322222222226203,0.3067903225806881,0.18643189964157386,0.25806886333786405
4,202000,0.3830429042905128,0.4538102310231727,-0.07076732673266002,186000,0.3750716845879284,0.3002293906810453,0.0748422939068831,0.14560962063954314
5,202000,0.37852970297041866,0.4371336633664209,-0.05860396039600234,186000,0.3682992831542349,0.3207777777778412,0.04752150537639368,0.10612546577239601
6,202000,0.2958778877888227,0.45412376237629254,-0.15824587458746994,186000,0.28031003584231234,0.3847437275986764,-0.10443369175636408,0.053812182831105865
7,202000,0.4231485148515235,0.481250825082529,-0.05810231023100551,186000,0.4090734767026082,0.3125465949821363,0.0965268817204719,0.1546291919514774
8,202000,0.3834686468648016,0.5476551155114892,-0.16418646864668748,186000,0.3618136200717905,0.48524014336919996,-0.12342652329740941,0.04075994534927807
9,202000,0.4791897689769076,0.5550231023101434,-0.07583333333323569,186000,0.4662921146954187,0.47682974910399323,-0.010537634408574512,0.06529569892466118
10,202000,0.3916831683168202,0.4774966996699894,-0.08581353135316933,186000,0.37049820788538157,0.3792616487456217,-0.008763440860240154,0.07705009049292917
11,202000,0.5224207920791976,0.5004719471947094,0.02194884488448805,186000,0.5181397849462814,0.4009623655915407,0.11717741935474069,0.09522857447025264
