run,task,kind,attribute,target,position,accuracy,classes,examples
formal,p_birth_city_first,p,birth_city,first,0,0.9952631592750549,21,250590
formal,p_birth_city_first,p,birth_city,first,1,0.999580979347229,21,250590
formal,p_birth_city_first,p,birth_city,first,2,0.9997445940971375,21,250590
formal,p_birth_city_first,p,birth_city,first,3,0.9997965097427368,21,250590
formal,p_birth_city_first,p,birth_city,first,4,0.9998563528060913,21,250590
formal,p_birth_city_first,p,birth_city,first,5,0.9998204112052917,21,250590
formal,p_birth_city_whole,p,birth_city,whole,0,0.12942256033420563,200,250590
formal,p_birth_city_whole,p,birth_city,whole,1,0.13150165975093842,200,250590
formal,p_birth_city_whole,p,birth_city,whole,2,0.13202042877674103,200,250590
formal,p_birth_city_whole,p,birth_city,whole,3,0.13200047612190247,200,250590
formal,p_birth_city_whole,p,birth_city,whole,4,0.13323356211185455,200,250590
formal,p_birth_city_whole,p,birth_city,whole,5,0.13350892066955566,200,250590
formal,p_birth_date_first,p,birth_date,first,0,0.9975857138633728,12,250590
formal,p_birth_date_first,p,birth_date,first,1,0.9998164176940918,12,250590
formal,p_birth_date_first,p,birth_date,first,2,0.9999082088470459,12,250590
formal,p_birth_date_first,p,birth_date,first,3,0.9999441504478455,12,250590
formal,p_birth_date_first,p,birth_date,first,4,0.9999680519104004,12,250590
formal,p_birth_date_first,p,birth_date,first,5,0.9999441504478455,12,250590
formal,p_company_city_first,p,company_city,first,0,0.9717786312103271,21,250590
formal,p_company_city_first,p,company_city,first,1,0.9821341633796692,21,250590
formal,p_company_city_first,p,company_city,first,2,0.9882956147193909,21,250590
formal,p_company_city_first,p,company_city,first,3,0.9929965138435364,21,250590
formal,p_company_city_first,p,company_city,first,4,0.9960373640060425,21,250590
formal,p_company_city_first,p,company_city,first,5,0.9975019097328186,21,250590
formal,p_company_city_whole,p,company_city,whole,0,0.4855620861053467,200,250590
formal,p_company_city_whole,p,company_city,whole,1,0.6543996334075928,200,250590
formal,p_company_city_whole,p,company_city,whole,2,0.7910850644111633,200,250590
formal,p_company_city_whole,p,company_city,whole,3,0.893994152545929,200,250590
formal,p_company_city_whole,p,company_city,whole,4,0.962927520275116,200,250590
formal,p_company_city_whole,p,company_city,whole,5,0.9986192584037781,200,250590
formal,p_company_first,p,company,first,0,0.9739135503768921,20,250590
formal,p_company_first,p,company,first,1,0.9831996560096741,20,250590
formal,p_company_first,p,company,first,2,0.9897641539573669,20,250590
formal,p_company_first,p,company,first,3,0.9944730401039124,20,250590
formal,p_company_first,p,company,first,4,0.9978291392326355,20,250590
formal,p_company_first,p,company,first,5,0.9992218613624573,20,250590
formal,p_company_whole,p,company,whole,0,0.45133087038993835,263,250590
formal,p_company_whole,p,company,whole,1,0.6178538799285889,263,250590
formal,p_company_whole,p,company,whole,2,0.7442435622215271,263,250590
formal,p_company_whole,p,company,whole,3,0.8429067134857178,263,250590
formal,p_company_whole,p,company,whole,4,0.9125064611434937,263,250590
formal,p_company_whole,p,company,whole,5,0.9508679509162903,263,250590
formal,p_major_first,p,major,first,0,0.9938185811042786,20,250590
formal,p_major_first,p,major,first,1,0.9994373321533203,20,250590
formal,p_major_first,p,major,first,2,0.9997406005859375,20,250590
formal,p_major_first,p,major,first,3,0.9998443722724915,20,250590
formal,p_major_first,p,major,first,4,0.9999361634254456,20,250590
formal,p_major_first,p,major,first,5,0.999900221824646,20,250590
formal,p_major_whole,p,major,whole,0,0.4779680073261261,100,250590
formal,p_major_whole,p,major,whole,1,0.4927690625190735,100,250590
formal,p_major_whole,p,major,whole,2,0.49562233686447144,100,250590
formal,p_major_whole,p,major,whole,3,0.49894648790359497,100,250590
formal,p_major_whole,p,major,whole,4,0.5011652708053589,100,250590
formal,p_major_whole,p,major,whole,5,0.5011732578277588,100,250590
formal,p_university_first,p,university,first,0,0.9967556595802307,20,250590
formal,p_university_first,p,university,first,1,0.9997206330299377,20,250590
formal,p_university_first,p,university,first,2,0.9998443722724915,20,250590
formal,p_university_first,p,university,first,3,0.9999361634254456,20,250590
formal,p_university_first,p,university,first,4,0.9999481439590454,20,250590
formal,p_university_first,p,university,first,5,0.9999401569366455,20,250590
formal,p_university_whole,p,university,whole,0,0.08531864732503891,300,250590
formal,p_university_whole,p,university,whole,1,0.08649586886167526,300,250590
formal,p_university_whole,p,university,whole,2,0.08673929423093796,300,250590
formal,p_university_whole,p,university,whole,3,0.08710642904043198,300,250590
formal,p_university_whole,p,university,whole,4,0.0869029089808464,300,250590
formal,p_university_whole,p,university,whole,5,0.08703060448169708,300,250590
formal,q_birth_city_first,q,birth_city,first,0,0.9941338300704956,21,50118
formal,q_birth_city_whole,q,birth_city,whole,0,0.12919509410858154,200,50118
formal,q_birth_date_first,q,birth_date,first,0,0.9974061250686646,12,50118
formal,q_company_city_first,q,company_city,first,0,0.9726046323776245,21,50118
formal,q_company_city_whole,q,company_city,whole,0,0.5103754997253418,200,50118
formal,q_company_first,q,company,first,0,0.973283052444458,20,50118
formal,q_company_whole,q,company,whole,0,0.4596751630306244,263,50118
formal,q_major_first,q,major,first,0,0.9939742088317871,20,50118
formal,q_major_whole,q,major,whole,0,0.47322317957878113,100,50118
formal,q_university_first,q,university,first,0,0.9961091876029968,20,50118
formal,q_university_whole,q,university,whole,0,0.08483977615833282,300,50118
