baseline,candidate,task,position,baseline_accuracy,candidate_accuracy,delta
single,multi5_permute,p_birth_city_first,0,0.06299134343862534,0.9951274991035461,0.9321361556649208
single,multi5_permute,p_birth_city_first,1,0.9999800324440002,0.9995331168174744,-0.0004469156265258789
single,multi5_permute,p_birth_city_first,2,0.999900221824646,0.9997047185897827,-0.00019550323486328125
single,multi5_permute,p_birth_city_first,3,0.9996408224105835,0.9997765421867371,0.00013571977615356445
single,multi5_permute,p_birth_city_first,4,1.0,0.9998244047164917,-0.00017559528350830078
single,multi5_permute,p_birth_city_first,5,1.0,0.9997645616531372,-0.00023543834686279297
single,multi5_permute,p_birth_city_whole,0,0.00680394284427166,0.1286962777376175,0.12189233489334583
single,multi5_permute,p_birth_city_whole,1,0.4097929000854492,0.1300371140241623,-0.2797557860612869
single,multi5_permute,p_birth_city_whole,2,0.984895646572113,0.1302047222852707,-0.8546909242868423
single,multi5_permute,p_birth_city_whole,3,0.9929566383361816,0.13052795827388763,-0.862428680062294
single,multi5_permute,p_birth_city_whole,4,0.9929167032241821,0.13122232258319855,-0.8616943806409836
single,multi5_permute,p_birth_city_whole,5,0.9910012483596802,0.13130611181259155,-0.8596951365470886
single,multi5_permute,p_birth_date_first,0,1.0,0.9975417852401733,-0.00245821475982666
single,multi5_permute,p_birth_date_first,1,1.0,0.9998283982276917,-0.0001716017723083496
single,multi5_permute,p_birth_date_first,2,1.0,0.9999281764030457,-7.18235969543457e-05
single,multi5_permute,p_birth_date_first,3,1.0,0.9999680519104004,-3.1948089599609375e-05
single,multi5_permute,p_birth_date_first,4,1.0,0.9999640583992004,-3.594160079956055e-05
single,multi5_permute,p_birth_date_first,5,1.0,0.9999680519104004,-3.1948089599609375e-05
single,multi5_permute,p_company_city_first,0,0.11149686574935913,0.971076250076294,0.8595793843269348
single,multi5_permute,p_company_city_first,1,0.1084241196513176,0.9813440442085266,0.872919924557209
single,multi5_permute,p_company_city_first,2,0.10618939250707626,0.9870665073394775,0.8808771148324013
single,multi5_permute,p_company_city_first,3,0.11921864748001099,0.9916477203369141,0.8724290728569031
single,multi5_permute,p_company_city_first,4,0.15301887691020966,0.9944251775741577,0.8414063006639481
single,multi5_permute,p_company_city_first,5,0.9999800324440002,0.9960533380508423,-0.003926694393157959
single,multi5_permute,p_company_city_whole,0,0.1301528364419937,0.4753701388835907,0.345217302441597
single,multi5_permute,p_company_city_whole,1,0.13400375843048096,0.6472604870796204,0.5132567286491394
single,multi5_permute,p_company_city_whole,2,0.13380421698093414,0.784576416015625,0.6507721990346909
single,multi5_permute,p_company_city_whole,3,0.13176903128623962,0.888395369052887,0.7566263377666473
single,multi5_permute,p_company_city_whole,4,0.1391715556383133,0.960197925567627,0.8210263699293137
single,multi5_permute,p_company_city_whole,5,1.0,0.9983438849449158,-0.0016561150550842285
single,multi5_permute,p_company_first,0,0.05225667357444763,0.9739415049552917,0.9216848313808441
single,multi5_permute,p_company_first,1,0.060457319021224976,0.9827566742897034,0.9222993552684784
single,multi5_permute,p_company_first,2,0.0632706806063652,0.9887266159057617,0.9254559352993965
single,multi5_permute,p_company_first,3,0.06991500407457352,0.9931162595748901,0.9232012555003166
single,multi5_permute,p_company_first,4,1.0,0.9965680837631226,-0.0034319162368774414
single,multi5_permute,p_company_first,5,1.0,0.9981244206428528,-0.0018755793571472168
single,multi5_permute,p_company_whole,0,0.003890817752107978,0.4233808219432831,0.4194900041911751
single,multi5_permute,p_company_whole,1,0.004988227970898151,0.585949182510376,0.5809609545394778
single,multi5_permute,p_company_whole,2,0.0047886986285448074,0.7204636931419373,0.7156749945133924
single,multi5_permute,p_company_whole,3,0.005926014389842749,0.8270641565322876,0.8211381421424448
single,multi5_permute,p_company_whole,4,0.13322558999061584,0.9032284021377563,0.7700028121471405
single,multi5_permute,p_company_whole,5,0.9998204112052917,0.9462268948554993,-0.05359351634979248
single,multi5_permute,p_major_first,0,0.05508998781442642,0.9943732619285583,0.9392832741141319
single,multi5_permute,p_major_first,1,0.06716150045394897,0.9995251297950745,0.9323636293411255
single,multi5_permute,p_major_first,2,0.07396544516086578,0.9997565746307373,0.9257911294698715
single,multi5_permute,p_major_first,3,1.0,0.999900221824646,-9.97781753540039e-05
single,multi5_permute,p_major_first,4,1.0,0.9999561309814453,-4.38690185546875e-05
single,multi5_permute,p_major_first,5,1.0,0.9999441504478455,-5.5849552154541016e-05
single,multi5_permute,p_major_whole,0,0.011333253234624863,0.4621293842792511,0.45079613104462624
single,multi5_permute,p_major_whole,1,0.017837902531027794,0.47789615392684937,0.46005825139582157
single,multi5_permute,p_major_whole,2,0.01789776049554348,0.48091304302215576,0.4630152825266123
single,multi5_permute,p_major_whole,3,0.7514864802360535,0.48305198550224304,-0.2684344947338104
single,multi5_permute,p_major_whole,4,0.9958897233009338,0.4861127734184265,-0.5097769498825073
single,multi5_permute,p_major_whole,5,0.9560038447380066,0.48447662591934204,-0.47152721881866455
single,multi5_permute,p_university_first,0,0.053852908313274384,0.996831476688385,0.9429785683751106
single,multi5_permute,p_university_first,1,0.11658485978841782,0.9997087121009827,0.8831238523125648
single,multi5_permute,p_university_first,2,0.9979647994041443,0.9998443722724915,0.001879572868347168
single,multi5_permute,p_university_first,3,0.999780535697937,0.9999281764030457,0.00014764070510864258
single,multi5_permute,p_university_first,4,0.9990821480751038,0.9999401569366455,0.000858008861541748
single,multi5_permute,p_university_first,5,0.9999600648880005,0.9999401569366455,-1.990795135498047e-05
single,multi5_permute,p_university_whole,0,0.0033919948618859053,0.08402569591999054,0.08063370105810463
single,multi5_permute,p_university_whole,1,0.011592641472816467,0.08433297276496887,0.0727403312921524
single,multi5_permute,p_university_whole,2,0.11510834097862244,0.08507122844457626,-0.030037112534046173
single,multi5_permute,p_university_whole,3,0.9935551881790161,0.08525479584932327,-0.9083003923296928
single,multi5_permute,p_university_whole,4,0.988806426525116,0.08553414046764374,-0.9032722860574722
single,multi5_permute,p_university_whole,5,0.9932758808135986,0.08560597151517868,-0.90766990929842
single,multi5_permute,q_birth_city_first,0,0.06207350641489029,0.9943533539772034,0.9322798475623131
single,multi5_permute,q_birth_city_whole,0,0.006105590611696243,0.12883594632148743,0.12273035570979118
single,multi5_permute,q_birth_date_first,0,0.39171555638313293,0.9974260926246643,0.6057105362415314
single,multi5_permute,q_company_city_first,0,0.13133005797863007,0.97200608253479,0.84067602455616
single,multi5_permute,q_company_city_whole,0,0.1330859214067459,0.4901632070541382,0.3570772856473923
single,multi5_permute,q_company_first,0,0.05099964141845703,0.9731433987617493,0.9221437573432922
single,multi5_permute,q_company_whole,0,0.0037711001932621002,0.4434933662414551,0.439722266048193
single,multi5_permute,q_major_first,0,0.05149846524000168,0.9947723150253296,0.9432738497853279
single,multi5_permute,q_major_whole,0,0.01009617280215025,0.47011053562164307,0.4600143628194928
single,multi5_permute,q_university_first,0,0.0575641468167305,0.9961091876029968,0.9385450407862663
single,multi5_permute,q_university_whole,0,0.003830958856269717,0.08456043899059296,0.08072948013432324
