run,task,kind,attribute,target,position,accuracy,classes,examples
single,p_birth_city_first,p,birth_city,first,0,0.06299134343862534,21,50118
single,p_birth_city_first,p,birth_city,first,1,0.9999800324440002,21,50118
single,p_birth_city_first,p,birth_city,first,2,0.999900221824646,21,50118
single,p_birth_city_first,p,birth_city,first,3,0.9996408224105835,21,50118
single,p_birth_city_first,p,birth_city,first,4,1.0,21,50118
single,p_birth_city_first,p,birth_city,first,5,1.0,21,50118
single,p_birth_city_whole,p,birth_city,whole,0,0.00680394284427166,200,50118
single,p_birth_city_whole,p,birth_city,whole,1,0.4097929000854492,200,50118
single,p_birth_city_whole,p,birth_city,whole,2,0.984895646572113,200,50118
single,p_birth_city_whole,p,birth_city,whole,3,0.9929566383361816,200,50118
single,p_birth_city_whole,p,birth_city,whole,4,0.9929167032241821,200,50118
single,p_birth_city_whole,p,birth_city,whole,5,0.9910012483596802,200,50118
single,p_birth_date_first,p,birth_date,first,0,1.0,12,50118
single,p_birth_date_first,p,birth_date,first,1,1.0,12,50118
single,p_birth_date_first,p,birth_date,first,2,1.0,12,50118
single,p_birth_date_first,p,birth_date,first,3,1.0,12,50118
single,p_birth_date_first,p,birth_date,first,4,1.0,12,50118
single,p_birth_date_first,p,birth_date,first,5,1.0,12,50118
single,p_company_city_first,p,company_city,first,0,0.11149686574935913,21,50118
single,p_company_city_first,p,company_city,first,1,0.1084241196513176,21,50118
single,p_company_city_first,p,company_city,first,2,0.10618939250707626,21,50118
single,p_company_city_first,p,company_city,first,3,0.11921864748001099,21,50118
single,p_company_city_first,p,company_city,first,4,0.15301887691020966,21,50118
single,p_company_city_first,p,company_city,first,5,0.9999800324440002,21,50118
single,p_company_city_whole,p,company_city,whole,0,0.1301528364419937,200,50118
single,p_company_city_whole,p,company_city,whole,1,0.13400375843048096,200,50118
single,p_company_city_whole,p,company_city,whole,2,0.13380421698093414,200,50118
single,p_company_city_whole,p,company_city,whole,3,0.13176903128623962,200,50118
single,p_company_city_whole,p,company_city,whole,4,0.1391715556383133,200,50118
single,p_company_city_whole,p,company_city,whole,5,1.0,200,50118
single,p_company_first,p,company,first,0,0.05225667357444763,20,50118
single,p_company_first,p,company,first,1,0.060457319021224976,20,50118
single,p_company_first,p,company,first,2,0.0632706806063652,20,50118
single,p_company_first,p,company,first,3,0.06991500407457352,20,50118
