category,filename,bytes,modified_utc,sha256,mounted_path,git_safe_path
engineering_validation,catalog_lf_final_20260726T044600Z.log,2058,2026-07-26T04:42:53.554078+00:00,a0ae6e4f13430ebd329b65b3cd2f76483f3608b3e95e015e1976b9210b886c68,/data/mini-train-sys/artifacts/logs/catalog_lf_final_20260726T044600Z.log,results/logs/maintenance/catalog_lf_final_20260726T044600Z.log
engineering_validation,catalog_lf_final_20260726T044600Z.status,2,2026-07-26T04:42:54.958072+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/catalog_lf_final_20260726T044600Z.status,results/logs/maintenance/catalog_lf_final_20260726T044600Z.status
engineering_validation,checkpoint_optimization_tests.log,1282,2026-07-20T20:28:35.868152+00:00,25305abadbba909fbd821a1d30d716990b41633f02b958d2a391688cef533229,/data/mini-train-sys/artifacts/logs/checkpoint_optimization_tests.log,results/logs/validation/checkpoint_optimization_tests.log
pretraining_validation,cloze_full_validation_20260721-1409.log,1430,2026-07-21T06:18:47.976309+00:00,b999b3d480ee06e7e6c1299a77d07606d55f6ae9c7e6d9cd38b90227ed4a7491,/data/mini-train-sys/artifacts/logs/cloze_full_validation_20260721-1409.log,results/logs/experiments/cloze_full_validation_20260721-1409.log
pretraining_validation,cloze_probe_gate_validation_20260721-1433.log,1430,2026-07-21T06:27:54.333832+00:00,b28b2a15a0cd6d2b52f8e235e9b4bf2bc46e0a89592bf508a1a247f4dfa160cb,/data/mini-train-sys/artifacts/logs/cloze_probe_gate_validation_20260721-1433.log,results/logs/experiments/cloze_probe_gate_validation_20260721-1433.log
engineering_validation,cuda_build_sm89_d64_20260725T080800Z.log,86229,2026-07-25T08:17:26.832845+00:00,558a3b599aa40353ac8be82e2476897200efa295da1f50f3e0a29dc669900b43,/data/mini-train-sys/artifacts/logs/cuda_build_sm89_d64_20260725T080800Z.log,results/logs/benchmarks/cuda_build_sm89_d64_20260725T080800Z.log
engineering_validation,cuda_build_sm89_d64_20260725T080800Z.status,2,2026-07-25T08:17:27.260838+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/cuda_build_sm89_d64_20260725T080800Z.status,results/logs/benchmarks/cuda_build_sm89_d64_20260725T080800Z.status
benchmark,distributed_server_benchmark_20260721_030256.log,8045,2026-07-20T19:03:02.092939+00:00,4c28a15ad34ff1f7b771878936832de91b0b3e0e7a08368d8ade552e43c14e4f,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_030256.log,results/logs/benchmarks/distributed_server_benchmark_20260721_030256.log
benchmark,distributed_server_benchmark_20260721_030344.log,8045,2026-07-20T19:03:50.228408+00:00,4c28a15ad34ff1f7b771878936832de91b0b3e0e7a08368d8ade552e43c14e4f,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_030344.log,results/logs/benchmarks/distributed_server_benchmark_20260721_030344.log
benchmark,distributed_server_benchmark_20260721_030458.log,6291,2026-07-20T19:06:16.542625+00:00,d1d374cb5ad38e60d294f6d3b0ad7382cecbe4b5fa92da97e8b5b14f0daa449c,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_030458.log,results/logs/benchmarks/distributed_server_benchmark_20260721_030458.log
benchmark,distributed_server_benchmark_20260721_030801.log,6291,2026-07-20T19:10:19.903233+00:00,a1a4ba655c146bf50642def54c0257b579ecf58dccce832f9f982aebf3d34239,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_030801.log,results/logs/benchmarks/distributed_server_benchmark_20260721_030801.log
benchmark,distributed_server_benchmark_20260721_031255.log,25969,2026-07-20T19:25:50.338214+00:00,4cc0bc375f75360c2727ac8a322430126fd59a30ab589a5fb003540930b4ceb4,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_031255.log,results/logs/benchmarks/distributed_server_benchmark_20260721_031255.log
benchmark,distributed_server_benchmark_20260721_032837.log,35872,2026-07-20T19:50:16.779753+00:00,84ce4ba693e74f998771f3c06cced95a11a8c747dcc34b11b7e6dab63578cdfb,/data/mini-train-sys/artifacts/logs/distributed_server_benchmark_20260721_032837.log,results/logs/benchmarks/distributed_server_benchmark_20260721_032837.log
infrastructure,export_fidelity_results.log,75,2026-07-20T20:57:35.256853+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/export_fidelity_results.log,results/logs/validation/export_fidelity_results.log
benchmark,export_final_benchmark_20260726T024700Z.log,75,2026-07-26T02:55:21.602076+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/export_final_benchmark_20260726T024700Z.log,results/logs/maintenance/export_final_benchmark_20260726T024700Z.log
benchmark,export_final_benchmark_20260726T024700Z.status,2,2026-07-26T02:55:21.602076+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/export_final_benchmark_20260726T024700Z.status,results/logs/maintenance/export_final_benchmark_20260726T024700Z.status
infrastructure,export_handoff_20260726T030000Z.log,75,2026-07-26T03:00:37.789918+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/export_handoff_20260726T030000Z.log,results/logs/maintenance/export_handoff_20260726T030000Z.log
infrastructure,export_handoff_20260726T030000Z.status,2,2026-07-26T03:00:37.789918+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/export_handoff_20260726T030000Z.status,results/logs/maintenance/export_handoff_20260726T030000Z.status
infrastructure,export_test_results.log,75,2026-07-20T20:12:22.000551+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/export_test_results.log,results/logs/validation/export_test_results.log
engineering_validation,fidelity_fsdp4_preflight.log,5473,2026-07-20T20:53:18.792413+00:00,e7aff39451cff5270e30ad381d9097dc162d1ed9928e524a73237e60ee87444a,/data/mini-train-sys/artifacts/logs/fidelity_fsdp4_preflight.log,results/logs/validation/fidelity_fsdp4_preflight.log
engineering_validation,fidelity_fsdp4_preflight_r2.log,12185,2026-07-20T20:54:31.003407+00:00,e63c2a8537703564b0c80044c3b81fb96400326f32ae20a41b171d084f72075d,/data/mini-train-sys/artifacts/logs/fidelity_fsdp4_preflight_r2.log,results/logs/validation/fidelity_fsdp4_preflight_r2.log
engineering_validation,fidelity_gpu_telemetry_tests.log,3233,2026-07-20T20:52:19.869238+00:00,04b493bd61090bd3d975040b0ecc823f5079903cea5c93681a4096812d3f4bb6,/data/mini-train-sys/artifacts/logs/fidelity_gpu_telemetry_tests.log,results/logs/validation/fidelity_gpu_telemetry_tests.log
engineering_validation,fidelity_gpu_telemetry_tests_rerun.log,1282,2026-07-20T20:52:53.860762+00:00,d82151c5c86cc5b7ac2a73f9cef1cef9196d6d27388c253e8ae4246dfe7db2d7,/data/mini-train-sys/artifacts/logs/fidelity_gpu_telemetry_tests_rerun.log,results/logs/validation/fidelity_gpu_telemetry_tests_rerun.log
infrastructure,final_export_r2_20260726T031900Z.log,271589,2026-07-26T03:19:24.709368+00:00,855381e28eaff38378025d5a0d4efae797f65a8d4f41d967bad018dcc58991e5,/data/mini-train-sys/artifacts/logs/final_export_r2_20260726T031900Z.log,results/logs/maintenance/final_export_r2_20260726T031900Z.log
infrastructure,final_export_r2_20260726T031900Z.status,2,2026-07-26T03:19:24.709368+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_export_r2_20260726T031900Z.status,results/logs/maintenance/final_export_r2_20260726T031900Z.status
engineering_validation,final_regression_20260726T025900Z.log,1363,2026-07-26T02:59:55.618702+00:00,f294288156b656ede21c5001160030da708d35e34fa16ec2ea15ef545c78c874,/data/mini-train-sys/artifacts/logs/final_regression_20260726T025900Z.log,results/logs/validation/final_regression_20260726T025900Z.log
engineering_validation,final_regression_20260726T025900Z.status,2,2026-07-26T02:59:56.574684+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_regression_20260726T025900Z.status,results/logs/validation/final_regression_20260726T025900Z.status
engineering_validation,final_regression_r2_20260726T031800Z.log,1363,2026-07-26T03:19:02.377634+00:00,e27eb311d6adfaf94bb5138ec905fa10e43929f0476b64aca7e1b577df10700d,/data/mini-train-sys/artifacts/logs/final_regression_r2_20260726T031800Z.log,results/logs/validation/final_regression_r2_20260726T031800Z.log
engineering_validation,final_regression_r2_20260726T031800Z.status,2,2026-07-26T03:19:03.329623+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/final_regression_r2_20260726T031800Z.status,results/logs/validation/final_regression_r2_20260726T031800Z.status
