kind,attribute,source_position,source_position_label,first_accuracy,original_whole_accuracy,whole_accuracy,delta_vs_original_whole,recovery_gap,classes,steps,batch_size
p,birth_city,0,birth date,1.0,0.0071032363921403885,0.14836984716070076,0.14126661076856037,-0.8516301528392992,200,4000,128
p,birth_city,1,birth city,1.0,0.5255995988845825,0.9755975896883355,0.449997990803753,-0.024402410311664458,200,4000,128
p,birth_city,2,university,1.0,0.9973263144493103,0.9640448541442196,-0.033281460305090715,-0.03595514585578041,200,4000,128
p,birth_city,3,major,1.0,0.9968873262405396,0.9814637455604772,-0.015423580680062332,-0.01853625443952278,200,4000,128
p,birth_city,4,company,1.0,0.9969272613525391,0.9839179536294346,-0.01300930772310449,-0.016082046370565428,200,4000,128
p,birth_city,5,company city,1.0,0.9970070719718933,0.9661598627239715,-0.030847209247921836,-0.033840137276028526,200,4000,128
p,university,0,birth date,1.0,0.003731194417923689,0.0805698551418652,0.07683866072394151,-0.9194301448581348,300,4000,128
p,university,1,birth city,1.0,0.013887226581573486,0.09900634502573925,0.08511911844416577,-0.9009936549742608,300,4000,128
p,university,2,university,1.0,0.1286962777376175,0.94227622810168,0.8135799503640625,-0.05772377189832001,300,4000,128
p,university,3,major,1.0,0.9961091876029968,0.9714673370844806,-0.024641850518516195,-0.02853266291551937,300,4000,128
p,university,4,company,1.0,0.9969472289085388,0.9833193662955425,-0.013627862612996311,-0.016680633704457493,300,4000,128
p,university,5,company city,1.0,0.998623251914978,0.9833193662955425,-0.01530388561943552,-0.016680633704457493,300,4000,128
p,major,0,birth date,1.0,0.012071510776877403,0.21820503611476916,0.20613352533789175,-0.7817949638852308,100,4000,128
p,major,1,birth city,1.0,0.017239315435290337,0.29035476275988664,0.2731154473245963,-0.7096452372401134,100,4000,128
p,major,2,university,1.0,0.01927451230585575,0.2919709485613951,0.27269643625553935,-0.708029051438605,100,4000,128
p,major,3,major,1.0,0.7707011699676514,0.883654575202522,0.11295340523487063,-0.116345424797478,100,4000,128
p,major,4,company,1.0,0.9962488412857056,0.9073386807135161,-0.08891016057218948,-0.09266131928648391,100,4000,128
p,major,5,company city,1.0,0.9651222825050354,0.7365218085318648,-0.22860047397317063,-0.2634781914681352,100,4000,128
p,company,0,birth date,1.0,0.004210064187645912,0.08142783032044375,0.07721776613279784,-0.9185721696795562,263,4000,128
p,company,1,birth city,1.0,0.005087992176413536,0.09776926453569576,0.09268127235928222,-0.9022307354643042,263,4000,128
p,company,2,university,1.0,0.004908415954560041,0.10718703858893013,0.10227862263437008,-0.8928129614110699,263,4000,128
p,company,3,major,1.0,0.006145496852695942,0.1493475398060577,0.14320204295336175,-0.8506524601939423,263,4000,128
p,company,4,company,1.0,0.1354004591703415,0.9029689931761044,0.7675685340057629,-0.09703100682389565,263,4000,128
p,company,5,company city,1.0,0.999800443649292,0.9902430264575601,-0.009557417191731865,-0.009756973542439873,263,4000,128
p,company_city,0,birth date,1.0,0.1309908628463745,0.23237160301688017,0.10138074017050566,-0.7676283969831198,200,4000,128
p,company_city,1,birth city,1.0,0.13420328497886658,0.23690091384332973,0.10269762886446315,-0.7630990861566702,200,4000,128
p,company_city,2,university,1.0,0.13404366374015808,0.23316971946206952,0.09912605572191144,-0.7668302805379305,200,4000,128
p,company_city,3,major,1.0,0.1323077529668808,0.23538449259746996,0.10307673963058916,-0.76461550740253,200,4000,128
p,company_city,4,company,1.0,0.14180533587932587,0.2674288678718225,0.12562353199249665,-0.7325711321281775,200,4000,128
p,company_city,5,company city,1.0,1.0,1.0,0.0,0.0,200,4000,128
