run,task,kind,attribute,target,position,accuracy,classes,examples
formal,p_birth_city_first,p,birth_city,first,0,0.06349015980958939,21,50118
formal,p_birth_city_first,p,birth_city,first,1,1.0,21,50118
formal,p_birth_city_first,p,birth_city,first,2,0.9999800324440002,21,50118
formal,p_birth_city_first,p,birth_city,first,3,1.0,21,50118
formal,p_birth_city_first,p,birth_city,first,4,1.0,21,50118
formal,p_birth_city_first,p,birth_city,first,5,1.0,21,50118
formal,p_birth_city_whole,p,birth_city,whole,0,0.0071032363921403885,200,50118
formal,p_birth_city_whole,p,birth_city,whole,1,0.5255995988845825,200,50118
formal,p_birth_city_whole,p,birth_city,whole,2,0.9973263144493103,200,50118
formal,p_birth_city_whole,p,birth_city,whole,3,0.9968873262405396,200,50118
formal,p_birth_city_whole,p,birth_city,whole,4,0.9969272613525391,200,50118
formal,p_birth_city_whole,p,birth_city,whole,5,0.9970070719718933,200,50118
formal,p_birth_date_first,p,birth_date,first,0,1.0,12,50118
formal,p_birth_date_first,p,birth_date,first,1,0.9999600648880005,12,50118
formal,p_birth_date_first,p,birth_date,first,2,1.0,12,50118
formal,p_birth_date_first,p,birth_date,first,3,1.0,12,50118
formal,p_birth_date_first,p,birth_date,first,4,1.0,12,50118
formal,p_birth_date_first,p,birth_date,first,5,1.0,12,50118
formal,p_company_city_first,p,company_city,first,0,0.1117762103676796,21,50118
formal,p_company_city_first,p,company_city,first,1,0.11173630505800247,21,50118
formal,p_company_city_first,p,company_city,first,2,0.10970110446214676,21,50118
formal,p_company_city_first,p,company_city,first,3,0.12021628767251968,21,50118
formal,p_company_city_first,p,company_city,first,4,0.1523205190896988,21,50118
formal,p_company_city_first,p,company_city,first,5,1.0,21,50118
formal,p_company_city_whole,p,company_city,whole,0,0.1309908628463745,200,50118
formal,p_company_city_whole,p,company_city,whole,1,0.13420328497886658,200,50118
formal,p_company_city_whole,p,company_city,whole,2,0.13404366374015808,200,50118
formal,p_company_city_whole,p,company_city,whole,3,0.1323077529668808,200,50118
formal,p_company_city_whole,p,company_city,whole,4,0.14180533587932587,200,50118
formal,p_company_city_whole,p,company_city,whole,5,1.0,200,50118
formal,p_company_first,p,company,first,0,0.052097052335739136,20,50118
formal,p_company_first,p,company,first,1,0.060477275401353836,20,50118
formal,p_company_first,p,company,first,2,0.06516620516777039,20,50118
formal,p_company_first,p,company,first,3,0.07051359117031097,20,50118
formal,p_company_first,p,company,first,4,1.0,20,50118
formal,p_company_first,p,company,first,5,1.0,20,50118
formal,p_company_whole,p,company,whole,0,0.004210064187645912,263,50118
formal,p_company_whole,p,company,whole,1,0.005087992176413536,263,50118
formal,p_company_whole,p,company,whole,2,0.004908415954560041,263,50118
formal,p_company_whole,p,company,whole,3,0.006145496852695942,263,50118
formal,p_company_whole,p,company,whole,4,0.1354004591703415,263,50118
formal,p_company_whole,p,company,whole,5,0.999800443649292,263,50118
formal,p_major_first,p,major,first,0,0.0571451373398304,20,50118
formal,p_major_first,p,major,first,1,0.06698191910982132,20,50118
formal,p_major_first,p,major,first,2,0.07504289597272873,20,50118
formal,p_major_first,p,major,first,3,1.0,20,50118
formal,p_major_first,p,major,first,4,1.0,20,50118
formal,p_major_first,p,major,first,5,1.0,20,50118
formal,p_major_whole,p,major,whole,0,0.012071510776877403,100,50118
formal,p_major_whole,p,major,whole,1,0.017239315435290337,100,50118
formal,p_major_whole,p,major,whole,2,0.01927451230585575,100,50118
formal,p_major_whole,p,major,whole,3,0.7707011699676514,100,50118
formal,p_major_whole,p,major,whole,4,0.9962488412857056,100,50118
formal,p_major_whole,p,major,whole,5,0.9651222825050354,100,50118
formal,p_university_first,p,university,first,0,0.05341394245624542,20,50118
formal,p_university_first,p,university,first,1,0.13174907863140106,20,50118
formal,p_university_first,p,university,first,2,0.998104453086853,20,50118
formal,p_university_first,p,university,first,3,0.9997206330299377,20,50118
formal,p_university_first,p,university,first,4,0.9994013905525208,20,50118
formal,p_university_first,p,university,first,5,0.9999800324440002,20,50118
formal,p_university_whole,p,university,whole,0,0.003731194417923689,300,50118
formal,p_university_whole,p,university,whole,1,0.013887226581573486,300,50118
formal,p_university_whole,p,university,whole,2,0.1286962777376175,300,50118
formal,p_university_whole,p,university,whole,3,0.9961091876029968,300,50118
formal,p_university_whole,p,university,whole,4,0.9969472289085388,300,50118
formal,p_university_whole,p,university,whole,5,0.998623251914978,300,50118
formal,q_birth_city_first,q,birth_city,first,0,0.062033601105213165,21,50118
formal,q_birth_city_whole,q,birth_city,whole,0,0.005686579737812281,200,50118
formal,q_birth_date_first,q,birth_date,first,0,0.41298535466194153,12,50118
formal,q_company_city_first,q,company_city,first,0,0.13027255237102509,21,50118
formal,q_company_city_whole,q,company_city,whole,0,0.1342431902885437,200,50118
formal,q_company_first,q,company,first,0,0.05163813382387161,20,50118
formal,q_company_whole,q,company,whole,0,0.003970629535615444,263,50118
formal,q_major_first,q,major,first,0,0.0529550276696682,20,50118
formal,q_major_whole,q,major,whole,0,0.010774572379887104,100,50118
formal,q_university_first,q,university,first,0,0.060038309544324875,20,50118
formal,q_university_whole,q,university,whole,0,0.004090346861630678,300,50118
