run,task,kind,attribute,target,position,accuracy,classes,examples
pilot,p_birth_city_first,p,birth_city,first,0,0.06299134343862534,21,50118
pilot,p_birth_city_first,p,birth_city,first,1,0.9999800324440002,21,50118
pilot,p_birth_city_first,p,birth_city,first,2,0.999900221824646,21,50118
pilot,p_birth_city_first,p,birth_city,first,3,0.9996408224105835,21,50118
pilot,p_birth_city_first,p,birth_city,first,4,1.0,21,50118
pilot,p_birth_city_first,p,birth_city,first,5,1.0,21,50118
pilot,p_birth_city_whole,p,birth_city,whole,0,0.00680394284427166,200,50118
pilot,p_birth_city_whole,p,birth_city,whole,1,0.4097929000854492,200,50118
pilot,p_birth_city_whole,p,birth_city,whole,2,0.984895646572113,200,50118
pilot,p_birth_city_whole,p,birth_city,whole,3,0.9929566383361816,200,50118
pilot,p_birth_city_whole,p,birth_city,whole,4,0.9929167032241821,200,50118
pilot,p_birth_city_whole,p,birth_city,whole,5,0.9910012483596802,200,50118
pilot,p_birth_date_first,p,birth_date,first,0,1.0,12,50118
pilot,p_birth_date_first,p,birth_date,first,1,1.0,12,50118
pilot,p_birth_date_first,p,birth_date,first,2,1.0,12,50118
pilot,p_birth_date_first,p,birth_date,first,3,1.0,12,50118
pilot,p_birth_date_first,p,birth_date,first,4,1.0,12,50118
pilot,p_birth_date_first,p,birth_date,first,5,1.0,12,50118
pilot,p_company_city_first,p,company_city,first,0,0.11149686574935913,21,50118
pilot,p_company_city_first,p,company_city,first,1,0.1084241196513176,21,50118
pilot,p_company_city_first,p,company_city,first,2,0.10618939250707626,21,50118
pilot,p_company_city_first,p,company_city,first,3,0.11921864748001099,21,50118
pilot,p_company_city_first,p,company_city,first,4,0.15301887691020966,21,50118
pilot,p_company_city_first,p,company_city,first,5,0.9999800324440002,21,50118
pilot,p_company_city_whole,p,company_city,whole,0,0.1301528364419937,200,50118
pilot,p_company_city_whole,p,company_city,whole,1,0.13400375843048096,200,50118
pilot,p_company_city_whole,p,company_city,whole,2,0.13380421698093414,200,50118
pilot,p_company_city_whole,p,company_city,whole,3,0.13176903128623962,200,50118
pilot,p_company_city_whole,p,company_city,whole,4,0.1391715556383133,200,50118
pilot,p_company_city_whole,p,company_city,whole,5,1.0,200,50118
pilot,p_company_first,p,company,first,0,0.05225667357444763,20,50118
pilot,p_company_first,p,company,first,1,0.060457319021224976,20,50118
pilot,p_company_first,p,company,first,2,0.0632706806063652,20,50118
pilot,p_company_first,p,company,first,3,0.06991500407457352,20,50118
pilot,p_company_first,p,company,first,4,1.0,20,50118
pilot,p_company_first,p,company,first,5,1.0,20,50118
pilot,p_company_whole,p,company,whole,0,0.003890817752107978,263,50118
pilot,p_company_whole,p,company,whole,1,0.004988227970898151,263,50118
pilot,p_company_whole,p,company,whole,2,0.0047886986285448074,263,50118
pilot,p_company_whole,p,company,whole,3,0.005926014389842749,263,50118
pilot,p_company_whole,p,company,whole,4,0.13322558999061584,263,50118
pilot,p_company_whole,p,company,whole,5,0.9998204112052917,263,50118
pilot,p_major_first,p,major,first,0,0.05508998781442642,20,50118
pilot,p_major_first,p,major,first,1,0.06716150045394897,20,50118
pilot,p_major_first,p,major,first,2,0.07396544516086578,20,50118
pilot,p_major_first,p,major,first,3,1.0,20,50118
pilot,p_major_first,p,major,first,4,1.0,20,50118
pilot,p_major_first,p,major,first,5,1.0,20,50118
pilot,p_major_whole,p,major,whole,0,0.011333253234624863,100,50118
pilot,p_major_whole,p,major,whole,1,0.017837902531027794,100,50118
pilot,p_major_whole,p,major,whole,2,0.01789776049554348,100,50118
pilot,p_major_whole,p,major,whole,3,0.7514864802360535,100,50118
pilot,p_major_whole,p,major,whole,4,0.9958897233009338,100,50118
pilot,p_major_whole,p,major,whole,5,0.9560038447380066,100,50118
pilot,p_university_first,p,university,first,0,0.053852908313274384,20,50118
pilot,p_university_first,p,university,first,1,0.11658485978841782,20,50118
pilot,p_university_first,p,university,first,2,0.9979647994041443,20,50118
pilot,p_university_first,p,university,first,3,0.999780535697937,20,50118
pilot,p_university_first,p,university,first,4,0.9990821480751038,20,50118
pilot,p_university_first,p,university,first,5,0.9999600648880005,20,50118
pilot,p_university_whole,p,university,whole,0,0.0033919948618859053,300,50118
pilot,p_university_whole,p,university,whole,1,0.011592641472816467,300,50118
pilot,p_university_whole,p,university,whole,2,0.11510834097862244,300,50118
pilot,p_university_whole,p,university,whole,3,0.9935551881790161,300,50118
pilot,p_university_whole,p,university,whole,4,0.988806426525116,300,50118
pilot,p_university_whole,p,university,whole,5,0.9932758808135986,300,50118
pilot,q_birth_city_first,q,birth_city,first,0,0.06207350641489029,21,50118
pilot,q_birth_city_whole,q,birth_city,whole,0,0.006105590611696243,200,50118
pilot,q_birth_date_first,q,birth_date,first,0,0.39171555638313293,12,50118
pilot,q_company_city_first,q,company_city,first,0,0.13133005797863007,21,50118
pilot,q_company_city_whole,q,company_city,whole,0,0.1330859214067459,200,50118
pilot,q_company_first,q,company,first,0,0.05099964141845703,20,50118
pilot,q_company_whole,q,company,whole,0,0.0037711001932621002,263,50118
pilot,q_major_first,q,major,first,0,0.05149846524000168,20,50118
pilot,q_major_whole,q,major,whole,0,0.01009617280215025,100,50118
pilot,q_university_first,q,university,first,0,0.0575641468167305,20,50118
pilot,q_university_whole,q,university,whole,0,0.003830958856269717,300,50118
