[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 977, "progress_percent": 0.102, "elapsed_seconds": 3.337, "eta_seconds": 3256.46, "items_processed": 128, "items_per_sec": 38.363, "tokens_processed": 169483, "tokens_per_sec": 50796.082, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1838.0, "gpu_peak_memory_allocated_mb": 1457.67, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1838.0, "gpu_peak_memory_allocated_mb_max": 1457.67, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1838.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 7.59, "gpu_memory_peak_percent_max": 6.02, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 50, "batch": 50, "batches_total": 977, "progress_percent": 5.118, "elapsed_seconds": 124.979, "eta_seconds": 2317.118, "items_processed": 6400, "items_per_sec": 51.208, "tokens_processed": 8579846, "tokens_per_sec": 68650.079, "field_accuracy_running": 0.9999479166666667, "all_fields_accuracy_running": 0.9996875, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 977, "progress_percent": 10.235, "elapsed_seconds": 249.363, "eta_seconds": 2186.917, "items_processed": 12800, "items_per_sec": 51.331, "tokens_processed": 17185784, "tokens_per_sec": 68918.622, "field_accuracy_running": 0.9999348958333333, "all_fields_accuracy_running": 0.999609375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 150, "batch": 150, "batches_total": 977, "progress_percent": 15.353, "elapsed_seconds": 374.289, "eta_seconds": 2063.579, "items_processed": 19200, "items_per_sec": 51.297, "tokens_processed": 25789394, "tokens_per_sec": 68902.375, "field_accuracy_running": 0.9999392361111111, "all_fields_accuracy_running": 0.9996354166666667, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 200, "batch": 200, "batches_total": 977, "progress_percent": 20.471, "elapsed_seconds": 499.523, "eta_seconds": 1940.648, "items_processed": 25600, "items_per_sec": 51.249, "tokens_processed": 34355924, "tokens_per_sec": 68777.435, "field_accuracy_running": 0.999921875, "all_fields_accuracy_running": 0.99953125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 250, "batch": 250, "batches_total": 977, "progress_percent": 25.589, "elapsed_seconds": 623.997, "eta_seconds": 1814.582, "items_processed": 32000, "items_per_sec": 51.282, "tokens_processed": 42933127, "tokens_per_sec": 68803.458, "field_accuracy_running": 0.9999375, "all_fields_accuracy_running": 0.999625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 300, "batch": 300, "batches_total": 977, "progress_percent": 30.706, "elapsed_seconds": 748.803, "eta_seconds": 1689.799, "items_processed": 38400, "items_per_sec": 51.282, "tokens_processed": 51551863, "tokens_per_sec": 68845.697, "field_accuracy_running": 0.9999262152777778, "all_fields_accuracy_running": 0.9995572916666666, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2030.0, "gpu_peak_memory_allocated_mb": 1470.31, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2030.0, "gpu_peak_memory_allocated_mb_max": 1470.31, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2030.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.38, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 350, "batch": 350, "batches_total": 977, "progress_percent": 35.824, "elapsed_seconds": 873.323, "eta_seconds": 1564.495, "items_processed": 44800, "items_per_sec": 51.298, "tokens_processed": 60137349, "tokens_per_sec": 68860.403, "field_accuracy_running": 0.9999330357142857, "all_fields_accuracy_running": 0.9995982142857143, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 400, "batch": 400, "batches_total": 977, "progress_percent": 40.942, "elapsed_seconds": 998.229, "eta_seconds": 1439.946, "items_processed": 51200, "items_per_sec": 51.291, "tokens_processed": 68745020, "tokens_per_sec": 68866.953, "field_accuracy_running": 0.9999186197916666, "all_fields_accuracy_running": 0.999609375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 450, "batch": 450, "batches_total": 977, "progress_percent": 46.059, "elapsed_seconds": 1122.798, "eta_seconds": 1314.921, "items_processed": 57600, "items_per_sec": 51.3, "tokens_processed": 77347653, "tokens_per_sec": 68888.302, "field_accuracy_running": 0.9999103009259259, "all_fields_accuracy_running": 0.9995486111111112, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 500, "batch": 500, "batches_total": 977, "progress_percent": 51.177, "elapsed_seconds": 1248.012, "eta_seconds": 1190.604, "items_processed": 64000, "items_per_sec": 51.282, "tokens_processed": 85962939, "tokens_per_sec": 68879.879, "field_accuracy_running": 0.99990625, "all_fields_accuracy_running": 0.999515625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 550, "batch": 550, "batches_total": 977, "progress_percent": 56.295, "elapsed_seconds": 1373.506, "eta_seconds": 1066.34, "items_processed": 70400, "items_per_sec": 51.256, "tokens_processed": 94602940, "tokens_per_sec": 68876.993, "field_accuracy_running": 0.9999147727272727, "all_fields_accuracy_running": 0.999559659090909, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 600, "batch": 600, "batches_total": 977, "progress_percent": 61.412, "elapsed_seconds": 1498.436, "eta_seconds": 941.517, "items_processed": 76800, "items_per_sec": 51.253, "tokens_processed": 103177839, "tokens_per_sec": 68857.007, "field_accuracy_running": 0.9999153645833333, "all_fields_accuracy_running": 0.9995572916666666, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 650, "batch": 650, "batches_total": 977, "progress_percent": 66.53, "elapsed_seconds": 1623.138, "eta_seconds": 816.563, "items_processed": 83200, "items_per_sec": 51.259, "tokens_processed": 111759595, "tokens_per_sec": 68854.047, "field_accuracy_running": 0.9999178685897436, "all_fields_accuracy_running": 0.9995673076923077, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 700, "batch": 700, "batches_total": 977, "progress_percent": 71.648, "elapsed_seconds": 1747.717, "eta_seconds": 691.597, "items_processed": 89600, "items_per_sec": 51.267, "tokens_processed": 120367806, "tokens_per_sec": 68871.435, "field_accuracy_running": 0.9999181547619047, "all_fields_accuracy_running": 0.9995647321428571, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 750, "batch": 750, "batches_total": 977, "progress_percent": 76.766, "elapsed_seconds": 1872.968, "eta_seconds": 566.885, "items_processed": 96000, "items_per_sec": 51.256, "tokens_processed": 128987749, "tokens_per_sec": 68868.117, "field_accuracy_running": 0.999921875, "all_fields_accuracy_running": 0.9995833333333334, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 800, "batch": 800, "batches_total": 977, "progress_percent": 81.883, "elapsed_seconds": 1997.815, "eta_seconds": 442.017, "items_processed": 102400, "items_per_sec": 51.256, "tokens_processed": 137580126, "tokens_per_sec": 68865.307, "field_accuracy_running": 0.9999153645833333, "all_fields_accuracy_running": 0.999580078125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 850, "batch": 850, "batches_total": 977, "progress_percent": 87.001, "elapsed_seconds": 2122.742, "eta_seconds": 317.163, "items_processed": 108800, "items_per_sec": 51.254, "tokens_processed": 146214384, "tokens_per_sec": 68879.949, "field_accuracy_running": 0.9999172794117647, "all_fields_accuracy_running": 0.9995863970588236, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 900, "batch": 900, "batches_total": 977, "progress_percent": 92.119, "elapsed_seconds": 2247.62, "eta_seconds": 192.296, "items_processed": 115200, "items_per_sec": 51.254, "tokens_processed": 154848023, "tokens_per_sec": 68894.207, "field_accuracy_running": 0.9999204282407408, "all_fields_accuracy_running": 0.9996006944444444, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 950, "batch": 950, "batches_total": 977, "progress_percent": 97.236, "elapsed_seconds": 2372.605, "eta_seconds": 67.432, "items_processed": 121600, "items_per_sec": 51.252, "tokens_processed": 163479181, "tokens_per_sec": 68902.817, "field_accuracy_running": 0.9999232456140351, "all_fields_accuracy_running": 0.9996134868421053, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 977, "batch": 977, "batches_total": 977, "progress_percent": 100.0, "elapsed_seconds": 2439.402, "eta_seconds": 0.0, "items_processed": 125000, "items_per_sec": 51.242, "tokens_processed": 168033787, "tokens_per_sec": 68883.194, "field_accuracy_running": 0.999924, "all_fields_accuracy_running": 0.999616, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2128.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2128.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2128.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.79, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
