[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 196, "progress_percent": 0.51, "elapsed_seconds": 2.861, "eta_seconds": 557.941, "items_processed": 128, "items_per_sec": 44.736, "tokens_processed": 167585, "tokens_per_sec": 58570.82, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2058.0, "gpu_peak_memory_allocated_mb": 1457.67, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2058.0, "gpu_peak_memory_allocated_mb_max": 1457.67, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2058.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.5, "gpu_memory_peak_percent_max": 6.02, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 20, "batch": 20, "batches_total": 196, "progress_percent": 10.204, "elapsed_seconds": 42.988, "eta_seconds": 378.293, "items_processed": 2560, "items_per_sec": 59.552, "tokens_processed": 3333726, "tokens_per_sec": 77550.476, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2156.0, "gpu_peak_memory_allocated_mb": 1464.92, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2156.0, "gpu_peak_memory_allocated_mb_max": 1464.92, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2156.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.9, "gpu_memory_peak_percent_max": 6.05, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 40, "batch": 40, "batches_total": 196, "progress_percent": 20.408, "elapsed_seconds": 85.448, "eta_seconds": 333.246, "items_processed": 5120, "items_per_sec": 59.92, "tokens_processed": 6674613, "tokens_per_sec": 78113.483, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 60, "batch": 60, "batches_total": 196, "progress_percent": 30.612, "elapsed_seconds": 127.684, "eta_seconds": 289.417, "items_processed": 7680, "items_per_sec": 60.149, "tokens_processed": 10006870, "tokens_per_sec": 78372.227, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 80, "batch": 80, "batches_total": 196, "progress_percent": 40.816, "elapsed_seconds": 170.062, "eta_seconds": 246.589, "items_processed": 10240, "items_per_sec": 60.213, "tokens_processed": 13360066, "tokens_per_sec": 78560.122, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 196, "progress_percent": 51.02, "elapsed_seconds": 212.791, "eta_seconds": 204.28, "items_processed": 12800, "items_per_sec": 60.153, "tokens_processed": 16711024, "tokens_per_sec": 78532.502, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 120, "batch": 120, "batches_total": 196, "progress_percent": 61.224, "elapsed_seconds": 255.317, "eta_seconds": 161.701, "items_processed": 15360, "items_per_sec": 60.16, "tokens_processed": 20058187, "tokens_per_sec": 78561.822, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 140, "batch": 140, "batches_total": 196, "progress_percent": 71.429, "elapsed_seconds": 297.698, "eta_seconds": 119.079, "items_processed": 17920, "items_per_sec": 60.195, "tokens_processed": 23397340, "tokens_per_sec": 78594.252, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 160, "batch": 160, "batches_total": 196, "progress_percent": 81.633, "elapsed_seconds": 340.138, "eta_seconds": 76.531, "items_processed": 20480, "items_per_sec": 60.211, "tokens_processed": 26732150, "tokens_per_sec": 78592.16, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 180, "batch": 180, "batches_total": 196, "progress_percent": 91.837, "elapsed_seconds": 382.361, "eta_seconds": 33.988, "items_processed": 23040, "items_per_sec": 60.257, "tokens_processed": 30068716, "tokens_per_sec": 78639.602, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 196, "batch": 196, "batches_total": 196, "progress_percent": 100.0, "elapsed_seconds": 415.652, "eta_seconds": 0.0, "items_processed": 25000, "items_per_sec": 60.146, "tokens_processed": 32630497, "tokens_per_sec": 78504.351, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2252.0, "gpu_peak_memory_allocated_mb": 1472.43, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2252.0, "gpu_peak_memory_allocated_mb_max": 1472.43, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2252.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.3, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
