[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 196, "progress_percent": 0.51, "elapsed_seconds": 2.799, "eta_seconds": 545.771, "items_processed": 128, "items_per_sec": 45.733, "tokens_processed": 165118, "tokens_per_sec": 58995.407, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1978.0, "gpu_peak_memory_allocated_mb": 1453.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1978.0, "gpu_peak_memory_allocated_mb_max": 1453.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1978.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.17, "gpu_memory_peak_percent_max": 6.0, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 20, "batch": 20, "batches_total": 196, "progress_percent": 10.204, "elapsed_seconds": 42.595, "eta_seconds": 374.84, "items_processed": 2560, "items_per_sec": 60.1, "tokens_processed": 3342305, "tokens_per_sec": 78466.282, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2264.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2264.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2264.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.35, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 40, "batch": 40, "batches_total": 196, "progress_percent": 20.408, "elapsed_seconds": 84.627, "eta_seconds": 330.044, "items_processed": 5120, "items_per_sec": 60.501, "tokens_processed": 6674826, "tokens_per_sec": 78873.775, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2264.0, "gpu_peak_memory_allocated_mb": 1469.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2264.0, "gpu_peak_memory_allocated_mb_max": 1469.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2264.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.35, "gpu_memory_peak_percent_max": 6.07, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 60, "batch": 60, "batches_total": 196, "progress_percent": 30.612, "elapsed_seconds": 127.087, "eta_seconds": 288.063, "items_processed": 7680, "items_per_sec": 60.431, "tokens_processed": 10035984, "tokens_per_sec": 78969.683, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 80, "batch": 80, "batches_total": 196, "progress_percent": 40.816, "elapsed_seconds": 169.718, "eta_seconds": 246.091, "items_processed": 10240, "items_per_sec": 60.335, "tokens_processed": 13389156, "tokens_per_sec": 78890.534, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 196, "progress_percent": 51.02, "elapsed_seconds": 212.415, "eta_seconds": 203.918, "items_processed": 12800, "items_per_sec": 60.259, "tokens_processed": 16754752, "tokens_per_sec": 78877.468, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 120, "batch": 120, "batches_total": 196, "progress_percent": 61.224, "elapsed_seconds": 254.965, "eta_seconds": 161.478, "items_processed": 15360, "items_per_sec": 60.244, "tokens_processed": 20103559, "tokens_per_sec": 78848.295, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 140, "batch": 140, "batches_total": 196, "progress_percent": 71.429, "elapsed_seconds": 297.37, "eta_seconds": 118.948, "items_processed": 17920, "items_per_sec": 60.262, "tokens_processed": 23448710, "tokens_per_sec": 78853.59, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 160, "batch": 160, "batches_total": 196, "progress_percent": 81.633, "elapsed_seconds": 339.971, "eta_seconds": 76.493, "items_processed": 20480, "items_per_sec": 60.24, "tokens_processed": 26805569, "tokens_per_sec": 78846.627, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 180, "batch": 180, "batches_total": 196, "progress_percent": 91.837, "elapsed_seconds": 382.338, "eta_seconds": 33.986, "items_processed": 23040, "items_per_sec": 60.261, "tokens_processed": 30151184, "tokens_per_sec": 78860.095, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 196, "batch": 196, "batches_total": 196, "progress_percent": 100.0, "elapsed_seconds": 415.695, "eta_seconds": 0.0, "items_processed": 25000, "items_per_sec": 60.14, "tokens_processed": 32720098, "tokens_per_sec": 78711.822, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2362.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2362.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2362.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.75, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
