[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 977, "progress_percent": 0.102, "elapsed_seconds": 3.218, "eta_seconds": 3140.607, "items_processed": 128, "items_per_sec": 39.778, "tokens_processed": 171261, "tokens_per_sec": 53222.431, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1820.0, "gpu_peak_memory_allocated_mb": 1457.67, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1820.0, "gpu_peak_memory_allocated_mb_max": 1457.67, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1820.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 7.52, "gpu_memory_peak_percent_max": 6.02, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 50, "batch": 50, "batches_total": 977, "progress_percent": 5.118, "elapsed_seconds": 124.038, "eta_seconds": 2299.672, "items_processed": 6400, "items_per_sec": 51.597, "tokens_processed": 8604951, "tokens_per_sec": 69373.293, "field_accuracy_running": 0.9998697916666667, "all_fields_accuracy_running": 0.99953125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 1916.0, "gpu_peak_memory_allocated_mb": 1464.92, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 1916.0, "gpu_peak_memory_allocated_mb_max": 1464.92, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 1916.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 7.91, "gpu_memory_peak_percent_max": 6.05, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 977, "progress_percent": 10.235, "elapsed_seconds": 247.707, "eta_seconds": 2172.395, "items_processed": 12800, "items_per_sec": 51.674, "tokens_processed": 17196394, "tokens_per_sec": 69422.182, "field_accuracy_running": 0.9998567708333334, "all_fields_accuracy_running": 0.99953125, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1468.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1468.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.06, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 150, "batch": 150, "batches_total": 977, "progress_percent": 15.353, "elapsed_seconds": 372.121, "eta_seconds": 2051.625, "items_processed": 19200, "items_per_sec": 51.596, "tokens_processed": 25819557, "tokens_per_sec": 69384.925, "field_accuracy_running": 0.9998958333333333, "all_fields_accuracy_running": 0.9996354166666667, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 200, "batch": 200, "batches_total": 977, "progress_percent": 20.471, "elapsed_seconds": 496.411, "eta_seconds": 1928.556, "items_processed": 25600, "items_per_sec": 51.57, "tokens_processed": 34434045, "tokens_per_sec": 69366.037, "field_accuracy_running": 0.9999088541666666, "all_fields_accuracy_running": 0.9996484375, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 250, "batch": 250, "batches_total": 977, "progress_percent": 25.589, "elapsed_seconds": 620.683, "eta_seconds": 1804.946, "items_processed": 32000, "items_per_sec": 51.556, "tokens_processed": 43044016, "tokens_per_sec": 69349.451, "field_accuracy_running": 0.999921875, "all_fields_accuracy_running": 0.9996875, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 300, "batch": 300, "batches_total": 977, "progress_percent": 30.706, "elapsed_seconds": 745.136, "eta_seconds": 1681.523, "items_processed": 38400, "items_per_sec": 51.534, "tokens_processed": 51669853, "tokens_per_sec": 69342.878, "field_accuracy_running": 0.9999305555555555, "all_fields_accuracy_running": 0.9997135416666667, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 350, "batch": 350, "batches_total": 977, "progress_percent": 35.824, "elapsed_seconds": 869.247, "eta_seconds": 1557.194, "items_processed": 44800, "items_per_sec": 51.539, "tokens_processed": 60272980, "tokens_per_sec": 69339.303, "field_accuracy_running": 0.9999255952380952, "all_fields_accuracy_running": 0.9997321428571428, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 400, "batch": 400, "batches_total": 977, "progress_percent": 40.942, "elapsed_seconds": 993.26, "eta_seconds": 1432.778, "items_processed": 51200, "items_per_sec": 51.547, "tokens_processed": 68852162, "tokens_per_sec": 69319.367, "field_accuracy_running": 0.9999186197916666, "all_fields_accuracy_running": 0.99966796875, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2012.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2012.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2012.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.31, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 450, "batch": 450, "batches_total": 977, "progress_percent": 46.059, "elapsed_seconds": 1117.176, "eta_seconds": 1308.337, "items_processed": 57600, "items_per_sec": 51.559, "tokens_processed": 77472352, "tokens_per_sec": 69346.583, "field_accuracy_running": 0.9999016203703703, "all_fields_accuracy_running": 0.9996180555555556, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2110.0, "gpu_peak_memory_allocated_mb": 1479.43, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2110.0, "gpu_peak_memory_allocated_mb_max": 1479.43, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2110.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.71, "gpu_memory_peak_percent_max": 6.11, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 500, "batch": 500, "batches_total": 977, "progress_percent": 51.177, "elapsed_seconds": 1241.629, "eta_seconds": 1184.514, "items_processed": 64000, "items_per_sec": 51.545, "tokens_processed": 86105551, "tokens_per_sec": 69348.878, "field_accuracy_running": 0.9998932291666667, "all_fields_accuracy_running": 0.999625, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2110.0, "gpu_peak_memory_allocated_mb": 1479.43, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2110.0, "gpu_peak_memory_allocated_mb_max": 1479.43, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2110.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.71, "gpu_memory_peak_percent_max": 6.11, "monitored_world_size": 1}
