[model_load] step 1/1 | tok/s 0.0 | items/s 0.0 | gpu-peak 1.09/23.65 GiB | 100.0% | ETA 0:00:00
[cloze_evaluate] {"event": "cloze_evaluate", "step": 1, "batch": 1, "batches_total": 196, "progress_percent": 0.51, "elapsed_seconds": 2.841, "eta_seconds": 553.921, "items_processed": 128, "items_per_sec": 45.061, "tokens_processed": 167339, "tokens_per_sec": 58909.363, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2026.0, "gpu_peak_memory_allocated_mb": 1461.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2026.0, "gpu_peak_memory_allocated_mb_max": 1461.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2026.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.37, "gpu_memory_peak_percent_max": 6.03, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 20, "batch": 20, "batches_total": 196, "progress_percent": 10.204, "elapsed_seconds": 44.286, "eta_seconds": 389.713, "items_processed": 2560, "items_per_sec": 57.807, "tokens_processed": 3339294, "tokens_per_sec": 75403.712, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2126.0, "gpu_peak_memory_allocated_mb": 1468.05, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2126.0, "gpu_peak_memory_allocated_mb_max": 1468.05, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2126.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.78, "gpu_memory_peak_percent_max": 6.06, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 40, "batch": 40, "batches_total": 196, "progress_percent": 20.408, "elapsed_seconds": 86.32, "eta_seconds": 336.647, "items_processed": 5120, "items_per_sec": 59.314, "tokens_processed": 6688633, "tokens_per_sec": 77486.776, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2126.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2126.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2126.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.78, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 60, "batch": 60, "batches_total": 196, "progress_percent": 30.612, "elapsed_seconds": 128.481, "eta_seconds": 291.223, "items_processed": 7680, "items_per_sec": 59.776, "tokens_processed": 10031880, "tokens_per_sec": 78080.882, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2126.0, "gpu_peak_memory_allocated_mb": 1472.18, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2126.0, "gpu_peak_memory_allocated_mb_max": 1472.18, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2126.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 8.78, "gpu_memory_peak_percent_max": 6.08, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 80, "batch": 80, "batches_total": 196, "progress_percent": 40.816, "elapsed_seconds": 170.569, "eta_seconds": 247.325, "items_processed": 10240, "items_per_sec": 60.034, "tokens_processed": 13368766, "tokens_per_sec": 78377.484, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 100, "batch": 100, "batches_total": 196, "progress_percent": 51.02, "elapsed_seconds": 212.703, "eta_seconds": 204.195, "items_processed": 12800, "items_per_sec": 60.178, "tokens_processed": 16727965, "tokens_per_sec": 78644.711, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 120, "batch": 120, "batches_total": 196, "progress_percent": 61.224, "elapsed_seconds": 254.892, "eta_seconds": 161.432, "items_processed": 15360, "items_per_sec": 60.261, "tokens_processed": 20054772, "tokens_per_sec": 78679.347, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 140, "batch": 140, "batches_total": 196, "progress_percent": 71.429, "elapsed_seconds": 297.104, "eta_seconds": 118.842, "items_processed": 17920, "items_per_sec": 60.315, "tokens_processed": 23401529, "tokens_per_sec": 78765.325, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 160, "batch": 160, "batches_total": 196, "progress_percent": 81.633, "elapsed_seconds": 339.267, "eta_seconds": 76.335, "items_processed": 20480, "items_per_sec": 60.365, "tokens_processed": 26744866, "tokens_per_sec": 78831.278, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 180, "batch": 180, "batches_total": 196, "progress_percent": 91.837, "elapsed_seconds": 381.249, "eta_seconds": 33.889, "items_processed": 23040, "items_per_sec": 60.433, "tokens_processed": 30074729, "tokens_per_sec": 78884.757, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
[cloze_evaluate] {"event": "cloze_evaluate", "step": 196, "batch": 196, "batches_total": 196, "progress_percent": 100.0, "elapsed_seconds": 414.214, "eta_seconds": 0.0, "items_processed": 25000, "items_per_sec": 60.355, "tokens_processed": 32617906, "tokens_per_sec": 78746.5, "field_accuracy_running": 1.0, "all_fields_accuracy_running": 1.0, "gpu_memory_allocated_mb": 1128.74, "gpu_memory_reserved_mb": 2224.0, "gpu_peak_memory_allocated_mb": 1475.55, "gpu_memory_allocated_mb_max": 1128.74, "gpu_memory_reserved_mb_max": 2224.0, "gpu_peak_memory_allocated_mb_max": 1475.55, "gpu_memory_allocated_mb_total": 1128.74, "gpu_memory_reserved_mb_total": 2224.0, "gpu_memory_capacity_mb_max": 24217.31, "gpu_memory_capacity_mb_total": 24217.31, "gpu_memory_current_percent_max": 4.66, "gpu_memory_reserved_percent_max": 9.18, "gpu_memory_peak_percent_max": 6.09, "monitored_world_size": 1}
