W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 1/32 | epoch 1/540 | loss 10.94644 | lr 1.000e-06 | grad 16.964 | data-wait 0.6% | tok/s 47,289.8 | gpu-peak 19.82/23.65 GiB | gpu-util 61.0% | 0.0% | ETA 23:16:50
[train] batch 4/32 | epoch 1/540 | loss 10.80753 | lr 4.000e-06 | grad 16.805 | data-wait 0.3% | tok/s 293,332.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 0.0% | ETA 8:38:00
[train] batch 8/32 | epoch 1/540 | loss 10.27703 | lr 8.000e-06 | grad 13.270 | data-wait 0.2% | tok/s 360,684.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 0.0% | ETA 5:50:28
[train] batch 12/32 | epoch 1/540 | loss 9.60149 | lr 1.200e-05 | grad 7.841 | data-wait 0.2% | tok/s 357,774.6 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 0.1% | ETA 4:55:06
[train] batch 16/32 | epoch 1/540 | loss 9.15751 | lr 1.600e-05 | grad 4.364 | data-wait 0.2% | tok/s 357,119.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 0.1% | ETA 4:27:28
[train] batch 20/32 | epoch 1/540 | loss 8.91295 | lr 2.000e-05 | grad 3.361 | data-wait 0.2% | tok/s 340,709.5 | gpu-peak 20.39/23.65 GiB | gpu-util 97.5% | 0.1% | ETA 4:12:40
[train] batch 24/32 | epoch 1/540 | loss 8.74950 | lr 2.400e-05 | grad 3.120 | data-wait 0.2% | tok/s 341,796.5 | gpu-peak 20.39/23.65 GiB | gpu-util 96.1% | 0.1% | ETA 4:02:40
[train] batch 28/32 | epoch 1/540 | loss 8.56878 | lr 2.800e-05 | grad 3.099 | data-wait 0.1% | tok/s 360,911.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.2% | ETA 3:54:03
[train] batch 32/32 | epoch 1/540 | loss 8.25200 | lr 3.200e-05 | grad 3.372 | data-wait 0.0% | tok/s 362,194.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 0.2% | ETA 3:47:30
[train] batch 4/32 | epoch 2/540 | loss 7.50624 | lr 3.600e-05 | grad 7.167 | data-wait 0.9% | tok/s 348,366.3 | gpu-peak 20.39/23.65 GiB | gpu-util 95.5% | 0.2% | ETA 3:43:12
[train] batch 8/32 | epoch 2/540 | loss 6.71495 | lr 4.000e-05 | grad 27.475 | data-wait 0.2% | tok/s 360,934.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 0.2% | ETA 3:39:06
[train] batch 12/32 | epoch 2/540 | loss 5.96269 | lr 4.400e-05 | grad 12.034 | data-wait 0.2% | tok/s 360,802.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.1% | 0.3% | ETA 3:35:44
[train] batch 16/32 | epoch 2/540 | loss 5.32065 | lr 4.800e-05 | grad 5.584 | data-wait 0.2% | tok/s 361,328.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.2% | 0.3% | ETA 3:32:54
[train] batch 20/32 | epoch 2/540 | loss 4.72757 | lr 5.200e-05 | grad 3.586 | data-wait 0.2% | tok/s 361,952.7 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 0.3% | ETA 3:30:29
