attribute,weighting,token_length,count,probability
birth_date,profile_weighted,4,63897,0.63897
birth_date,profile_weighted,5,36103,0.36103
birth_date,unique_values,4,33261,0.6413860927918547
birth_date,unique_values,5,18597,0.35861390720814534
birth_city,profile_weighted,3,9443,0.09443
birth_city,profile_weighted,4,90557,0.90557
birth_city,unique_values,3,19,0.095
birth_city,unique_values,4,181,0.905
university,profile_weighted,2,6623,0.06623
university,profile_weighted,3,93377,0.93377
university,unique_values,2,20,0.06666666666666667
university,unique_values,3,280,0.9333333333333333
major,profile_weighted,1,15176,0.15176
major,profile_weighted,2,63941,0.63941
major,profile_weighted,3,16927,0.16927
major,profile_weighted,4,3956,0.03956
major,unique_values,1,15,0.15
major,unique_values,2,64,0.64
major,unique_values,3,17,0.17
major,unique_values,4,4,0.04
company,profile_weighted,2,6787,0.06787
company,profile_weighted,3,83300,0.833
company,profile_weighted,4,9913,0.09913
company,unique_values,2,18,0.06844106463878327
company,unique_values,3,219,0.8326996197718631
company,unique_values,4,26,0.09885931558935361
company_city,profile_weighted,3,8504,0.08504
company_city,profile_weighted,4,91496,0.91496
company_city,unique_values,3,19,0.095
company_city,unique_values,4,181,0.905
