attribute,token_position,token_id,token_text,profile_count,profile_probability,conditional_probability_when_present,unique_value_count
birth_date,1,2795, June,8530,0.0853,0.0853,4354
birth_date,1,2805, March,8458,0.08458,0.08458,4345
birth_date,1,3267, October,8416,0.08416,0.08416,4343
birth_date,1,2901, July,8402,0.08402,0.08402,4357
birth_date,1,3269, January,8363,0.08363,0.08363,4327
birth_date,1,2693, September,8345,0.08345,0.08345,4309
birth_date,1,3426, December,8344,0.08344,0.08344,4297
birth_date,1,3035, April,8313,0.08313,0.08313,4319
birth_date,1,1737, May,8298,0.08298,0.08298,4334
birth_date,1,2932, August,8253,0.08253,0.08253,4324
birth_date,1,3389, November,8148,0.08148,0.08148,4265
birth_date,1,3945, February,8130,0.0813,0.0813,4284
birth_date,2,1679, 25,3677,0.03677,0.03677,1876
birth_date,2,2242, 23,3657,0.03657,0.03657,1874
birth_date,2,1987, 24,3655,0.03655,0.03655,1891
birth_date,2,2681, 27,3645,0.03645,0.03645,1848
birth_date,2,1105, 12,3627,0.03627,0.03627,1864
birth_date,2,718, 6,3626,0.03626,0.03626,1854
birth_date,2,860, 9,3617,0.03617,0.03617,1883
birth_date,2,1467, 16,3610,0.0361,0.0361,1876
birth_date,2,1367, 11,3609,0.03609,0.03609,1872
birth_date,2,1315, 15,3598,0.03598,0.03598,1874
birth_date,2,2579, 28,3597,0.03597,0.03597,1857
birth_date,2,807, 8,3591,0.03591,0.03591,1855
birth_date,2,1160, 20,3581,0.03581,0.03581,1851
birth_date,2,1511, 13,3575,0.03575,0.03575,1832
birth_date,2,2534, 22,3563,0.03563,0.03563,1862
birth_date,2,767, 7,3560,0.0356,0.0356,1827
birth_date,2,2608, 26,3557,0.03557,0.03557,1829
birth_date,2,642, 5,3555,0.03555,0.03555,1849
birth_date,2,352, 1,3549,0.03549,0.03549,1869
birth_date,2,1596, 17,3542,0.03542,0.03542,1825
birth_date,2,604, 4,3529,0.03529,0.03529,1855
birth_date,2,838, 10,3527,0.03527,0.03527,1831
birth_date,2,513, 3,3526,0.03526,0.03526,1827
birth_date,2,1248, 18,3517,0.03517,0.03517,1821
birth_date,2,2310, 21,3510,0.0351,0.0351,1845
birth_date,2,362, 2,3475,0.03475,0.03475,1859
birth_date,2,1478, 14,3469,0.03469,0.03469,1821
birth_date,2,678, 19,3456,0.03456,0.03456,1831
birth_date,3,11,",",100000,1.0,1.0,51858
birth_date,4,1160, 20,36103,0.36103,0.36103,18597
birth_date,4,25054, 2030,556,0.00556,0.00556,257
birth_date,4,23234, 1941,545,0.00545,0.00545,271
birth_date,4,32216, 1911,542,0.00542,0.00542,265
birth_date,4,16489, 1974,541,0.00541,0.00541,263
birth_date,4,27653, 1936,541,0.00541,0.00541,267
birth_date,4,21794, 1948,540,0.0054,0.0054,266
birth_date,4,5075, 2005,538,0.00538,0.00538,268
birth_date,4,10249, 1991,534,0.00534,0.00534,268
birth_date,4,3050, 2010,534,0.00534,0.00534,261
birth_date,4,24718, 1954,533,0.00533,0.00533,265
birth_date,4,36117, 2048,529,0.00529,0.00529,274
birth_date,4,33160, 2022,529,0.00529,0.00529,266
birth_date,4,31953, 1910,529,0.00529,0.00529,269
birth_date,4,19342, 1963,528,0.00528,0.00528,255
birth_date,4,32215, 2050,525,0.00525,0.00525,259
birth_date,4,14745, 1981,524,0.00524,0.00524,269
birth_date,4,17575, 1964,522,0.00522,0.00522,261
birth_date,4,22458, 1942,522,0.00522,0.00522,268
birth_date,4,35369, 1921,521,0.00521,0.00521,265
birth_date,4,26539, 1933,521,0.00521,0.00521,266
birth_date,4,6244, 2002,520,0.0052,0.0052,253
birth_date,4,13521, 1979,519,0.00519,0.00519,270
birth_date,4,41625, 1903,518,0.00518,0.00518,257
birth_date,4,24648, 1958,518,0.00518,0.00518,265
birth_date,4,2321, 2012,518,0.00518,0.00518,258
birth_date,4,4793, 2006,517,0.00517,0.00517,265
birth_date,4,13130, 2019,517,0.00517,0.00517,255
birth_date,4,4343, 2007,517,0.00517,0.00517,269
birth_date,4,24217, 1953,517,0.00517,0.00517,269
birth_date,4,8069, 1970,514,0.00514,0.00514,274
birth_date,4,15533, 1930,514,0.00514,0.00514,265
birth_date,4,7795, 1998,513,0.00513,0.00513,251
birth_date,4,1584, 2016,513,0.00513,0.00513,263
birth_date,4,34463, 1912,511,0.00511,0.00511,267
birth_date,4,19322, 1966,510,0.0051,0.0051,263
birth_date,4,15674, 1973,510,0.0051,0.0051,265
birth_date,4,11104, 1989,510,0.0051,0.0051,267
birth_date,4,35145, 1913,510,0.0051,0.0051,269
birth_date,4,4751, 2000,509,0.00509,0.00509,261
birth_date,4,5878, 2001,509,0.00509,0.00509,265
birth_date,4,29300, 1934,508,0.00508,0.00508,257
birth_date,4,24168, 1917,507,0.00507,0.00507,259
birth_date,4,25325, 1955,507,0.00507,0.00507,260
birth_date,4,26833, 1914,507,0.00507,0.00507,263
birth_date,4,20033, 1962,507,0.00507,0.00507,275
birth_date,4,15231, 1975,507,0.00507,0.00507,261
birth_date,4,32811, 1916,506,0.00506,0.00506,259
birth_date,4,25859, 1918,505,0.00505,0.00505,263
birth_date,4,15761, 1945,505,0.00505,0.00505,261
birth_date,4,12122, 1988,504,0.00504,0.00504,259
birth_date,4,8735, 1995,504,0.00504,0.00504,258
birth_date,4,7169, 1980,504,0.00504,0.00504,265
birth_date,4,11445, 1950,503,0.00503,0.00503,261
birth_date,4,22717, 1946,503,0.00503,0.00503,267
birth_date,4,32190, 2025,503,0.00503,0.00503,259
birth_date,4,30704, 1935,503,0.00503,0.00503,257
birth_date,4,15589, 1977,503,0.00503,0.00503,262
birth_date,4,40538, 1906,501,0.00501,0.00501,272
birth_date,4,1853, 2015,501,0.00501,0.00501,260
birth_date,4,5816, 2003,501,0.00501,0.00501,266
birth_date,4,14489, 1982,501,0.00501,0.00501,257
birth_date,4,23859, 1959,500,0.005,0.005,268
birth_date,4,48609, 2024,500,0.005,0.005,265
birth_date,4,30992, 1919,499,0.00499,0.00499,261
birth_date,4,14062, 1920,499,0.00499,0.00499,262
birth_date,4,26352, 1952,499,0.00499,0.00499,258
birth_date,4,38525, 1926,498,0.00498,0.00498,257
birth_date,4,27937, 1951,497,0.00497,0.00497,265
birth_date,4,33448, 2021,497,0.00497,0.00497,257
birth_date,4,3648, 2008,497,0.00497,0.00497,259
birth_date,4,12844, 1984,497,0.00497,0.00497,263
birth_date,4,21577, 1943,496,0.00496,0.00496,250
birth_date,4,3717, 2009,496,0.00496,0.00496,266
birth_date,4,41435, 1907,496,0.00496,0.00496,258
birth_date,4,8235, 1996,496,0.00496,0.00496,255
birth_date,4,32471, 1932,496,0.00496,0.00496,251
birth_date,4,35768, 1928,496,0.00496,0.00496,258
birth_date,4,8309, 1997,495,0.00495,0.00495,245
birth_date,4,9768, 1992,494,0.00494,0.00494,264
birth_date,4,15963, 1968,494,0.00494,0.00494,267
birth_date,4,37166, 1905,494,0.00494,0.00494,257
birth_date,4,9162, 1994,493,0.00493,0.00493,261
birth_date,4,21709, 1947,492,0.00492,0.00492,267
birth_date,4,2177, 2017,491,0.00491,0.00491,257
birth_date,4,12113, 1986,491,0.00491,0.00491,258
birth_date,4,37272, 1923,491,0.00491,0.00491,260
birth_date,4,5472, 2004,491,0.00491,0.00491,267
birth_date,4,16101, 1972,490,0.0049,0.0049,259
birth_date,4,16450, 1969,489,0.00489,0.00489,255
birth_date,4,2864, 2018,489,0.00489,0.00489,258
birth_date,4,20510, 1961,489,0.00489,0.00489,255
birth_date,4,1946, 2014,488,0.00488,0.00488,258
birth_date,4,15408, 1976,487,0.00487,0.00487,258
birth_date,4,36565, 1927,486,0.00486,0.00486,265
birth_date,4,28017, 1938,486,0.00486,0.00486,253
birth_date,4,2813, 2011,486,0.00486,0.00486,263
birth_date,4,28684, 1937,486,0.00486,0.00486,265
birth_date,4,15524, 1978,485,0.00485,0.00485,259
birth_date,4,43785, 1904,485,0.00485,0.00485,246
birth_date,4,36094, 1922,484,0.00484,0.00484,255
birth_date,4,24977, 1949,484,0.00484,0.00484,252
birth_date,4,34625, 1931,484,0.00484,0.00484,251
birth_date,4,39923, 1901,484,0.00484,0.00484,253
birth_date,4,12131, 2020,483,0.00483,0.00483,255
birth_date,4,25177, 1957,483,0.00483,0.00483,253
birth_date,4,6303, 1990,483,0.00483,0.00483,253
birth_date,4,45611, 1902,483,0.00483,0.00483,249
birth_date,4,16236, 1940,480,0.0048,0.0048,250
birth_date,4,40417, 1908,480,0.0048,0.0048,266
birth_date,4,16382, 1971,477,0.00477,0.00477,260
birth_date,4,17672, 1965,476,0.00476,0.00476,263
birth_date,4,32062, 1915,475,0.00475,0.00475,252
birth_date,4,37547, 1924,475,0.00475,0.00475,255
birth_date,4,31883, 1929,474,0.00474,0.00474,255
birth_date,4,9507, 1960,474,0.00474,0.00474,250
birth_date,4,9656, 1993,473,0.00473,0.00473,247
birth_date,4,7358, 1999,472,0.00472,0.00472,252
birth_date,4,21489, 1900,472,0.00472,0.00472,259
birth_date,4,25190, 1956,466,0.00466,0.00466,249
birth_date,4,16994, 1944,466,0.00466,0.00466,246
birth_date,4,2211, 2013,465,0.00465,0.00465,255
birth_date,4,15904, 1967,465,0.00465,0.00465,254
birth_date,4,41507, 1909,455,0.00455,0.00455,252
birth_date,4,12863, 1985,455,0.00455,0.00455,250
birth_date,4,12923, 1987,446,0.00446,0.00446,250
birth_date,4,13540, 1983,444,0.00444,0.00444,248
birth_date,4,24414, 1939,441,0.00441,0.00441,252
birth_date,4,36864, 1925,439,0.00439,0.00439,250
birth_date,5,4310,53,556,0.00556,0.015400382239703072,266
birth_date,5,4349,51,543,0.00543,0.015040301359997784,256
birth_date,5,6469,82,532,0.00532,0.014735617538708695,269
birth_date,5,2682,34,532,0.00532,0.014735617538708695,271
birth_date,5,3132,31,531,0.00531,0.014707919009500596,252
birth_date,5,6052,93,529,0.00529,0.014652521951084397,274
birth_date,5,1954,23,528,0.00528,0.014624823421876298,267
birth_date,5,2816,55,527,0.00527,0.0145971248926682,271
birth_date,5,2598,44,525,0.00525,0.014541727834252002,267
birth_date,5,5999,83,525,0.00525,0.014541727834252002,280
birth_date,5,2670,39,524,0.00524,0.014514029305043903,266
birth_date,5,2623,36,521,0.00521,0.014430933717419605,262
birth_date,5,2425,75,521,0.00521,0.014430933717419605,260
birth_date,5,3388,69,520,0.0052,0.014403235188211506,257
birth_date,5,3559,43,520,0.0052,0.014403235188211506,266
birth_date,5,5332,85,517,0.00517,0.01432013960058721,261
birth_date,5,5607,97,517,0.00517,0.01432013960058721,258
birth_date,5,3510,46,516,0.00516,0.01429244107137911,263
birth_date,5,2414,64,516,0.00516,0.01429244107137911,265
birth_date,5,4051,54,516,0.00516,0.01429244107137911,253
birth_date,5,4309,52,515,0.00515,0.01426474254217101,264
birth_date,5,1959,29,514,0.00514,0.014237044012962911,273
birth_date,5,2075,26,514,0.00514,0.014237044012962911,256
birth_date,5,4521,86,514,0.00514,0.014237044012962911,260
birth_date,5,2548,38,512,0.00512,0.014181646954546713,258
birth_date,5,5066,63,511,0.00511,0.014153948425338615,260
birth_date,5,6659,81,510,0.0051,0.014126249896130516,268
birth_date,5,4869,71,510,0.0051,0.014126249896130516,266
birth_date,5,5892,92,510,0.0051,0.014126249896130516,259
birth_date,5,6420,91,510,0.0051,0.014126249896130516,261
birth_date,5,4846,96,510,0.0051,0.014126249896130516,268
birth_date,5,3682,42,509,0.00509,0.014098551366922417,261
birth_date,5,1821,40,509,0.00509,0.014098551366922417,260
birth_date,5,3553,57,508,0.00508,0.014070852837714318,261
birth_date,5,2154,70,507,0.00507,0.014043154308506218,257
birth_date,5,2091,33,505,0.00505,0.01398775725009002,248
birth_date,5,2718,37,504,0.00504,0.013960058720881921,260
birth_date,5,4524,74,503,0.00503,0.013932360191673822,256
birth_date,5,2920,49,501,0.00501,0.013876963133257625,261
birth_date,5,3695,78,500,0.005,0.013849264604049526,254
birth_date,5,3134,67,498,0.00498,0.013793867545633326,259
birth_date,5,4790,73,498,0.00498,0.013793867545633326,261
birth_date,5,5705,84,497,0.00497,0.013766169016425227,264
birth_date,5,3901,41,497,0.00497,0.013766169016425227,264
birth_date,5,2079,99,494,0.00494,0.013683073428800931,258
birth_date,5,3324,77,492,0.00492,0.013627676370384733,259
birth_date,5,2078,28,489,0.00489,0.013544580782760435,254
