kind,attribute,source_position,source_position_label,first_accuracy,original_whole_accuracy,whole_accuracy,delta_vs_original_whole,recovery_gap,classes,steps,batch_size
p,birth_city,0,birth date,1.0,0.12942256033420563,0.9992178458837144,0.8697952855495088,-0.0007821541162855716,200,4000,128
p,birth_city,1,birth city,1.0,0.13150165975093842,0.9998124426353805,0.8683107828844421,-0.00018755736461950612,200,4000,128
p,birth_city,2,university,1.0,0.13202042877674103,0.9999082166088032,0.8678877878320622,-9.17833911967536e-05,200,4000,128
p,birth_city,3,major,1.0,0.13200047612190247,0.9999441318488368,0.8679436557269343,-5.5868151163207536e-05,200,4000,128
p,birth_city,4,company,1.0,0.13323356211185455,0.9999441318488368,0.8667105697369822,-5.5868151163207536e-05,200,4000,128
p,birth_city,5,company city,1.0,0.13350892066955566,0.9999042260265772,0.8663953053570216,-9.577397342275251e-05,200,4000,128
p,university,0,birth date,1.0,0.08531864732503891,0.9987110419410192,0.9133923946159803,-0.0012889580589807714,300,4000,128
p,university,1,birth city,1.0,0.08649586886167526,0.9997645556486692,0.9132686867869939,-0.00023544435133082686,300,4000,128
p,university,2,university,1.0,0.08673929423093796,0.9998403767109622,0.9131010824800242,-0.00015962328903784684,300,4000,128
p,university,3,major,1.0,0.08710642904043198,0.9999042260265772,0.9127977969861453,-9.577397342275251e-05,300,4000,128
p,university,4,company,1.0,0.0869029089808464,0.999920188355481,0.9130172793746346,-7.981164451897893e-05,300,4000,128
p,university,5,company city,1.0,0.08703060448169708,0.9999002354443514,0.9128696309626543,-9.97645556486404e-05,300,4000,128
p,major,0,birth date,1.0,0.4779680073261261,0.833433097888982,0.3554650905628559,-0.166566902111018,100,4000,128
p,major,1,birth city,1.0,0.4927690625190735,0.839279300849994,0.34651023833092054,-0.16072069915000597,100,4000,128
p,major,2,university,1.0,0.49562233686447144,0.8412745919629674,0.34565225509849595,-0.1587254080370326,100,4000,128
p,major,3,major,1.0,0.49894648790359497,0.8438644798276068,0.34491799192401185,-0.15613552017239318,100,4000,128
p,major,4,company,1.0,0.5011652708053589,0.8447743325751227,0.3436090617697638,-0.1552256674248773,100,4000,128
p,major,5,company city,1.0,0.5011732578277588,0.8452252683666547,0.3440520105388959,-0.15477473163334532,100,4000,128
p,company,0,birth date,1.0,0.45133087038993835,0.9755457121193982,0.5242148417294599,-0.024454287880601777,263,4000,128
p,company,1,birth city,1.0,0.6178538799285889,0.9858972824135042,0.3680434024849153,-0.014102717586495839,263,4000,128
p,company,2,university,1.0,0.7442435622215271,0.9905941976934435,0.24635063547191638,-0.009405802306556521,263,4000,128
p,company,3,major,1.0,0.8429067134857178,0.9941298535456323,0.15122314005991455,-0.005870146454367675,263,4000,128
p,company,4,company,1.0,0.9125064611434937,0.996404485414422,0.0838980242709283,-0.0035955145855780524,263,4000,128
p,company,5,company city,1.0,0.9508679509162903,0.9977373398778882,0.04686938896159787,-0.002262660122111848,263,4000,128
p,company_city,0,birth date,1.0,0.4855620861053467,0.9742407917315137,0.488678705626167,-0.025759208268486322,200,4000,128
p,company_city,1,birth city,1.0,0.6543996334075928,0.9821740691966958,0.32777443578910304,-0.01782593080330419,200,4000,128
p,company_city,2,university,1.0,0.7910850644111633,0.9881040743844527,0.19701900997328936,-0.01189592561554731,200,4000,128
p,company_city,3,major,1.0,0.893994152545929,0.992729159184325,0.09873500663839607,-0.007270840815674973,200,4000,128
p,company_city,4,company,1.0,0.962927520275116,0.9951753860888304,0.032247865813714416,-0.004824613911169617,200,4000,128
p,company_city,5,company city,1.0,0.9986192584037781,0.9955505008180694,-0.0030687575857086813,-0.004449499181930605,200,4000,128
